Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Srm	1.22E-262	-0.591940282	0.147	0.477	1.58E-258
Rps21	8.91E-259	0.243617459	1	0.999	1.16E-254
Rps29	8.38E-258	0.199042295	1	1	1.09E-253
Rac2	3.11E-256	0.524546217	0.844	0.688	4.04E-252
Myc	4.21E-254	-0.72755311	0.284	0.491	5.47E-250
Ebf1	1.17E-247	0.510363468	0.968	0.912	1.52E-243
Tmsb10	2.39E-238	0.456588964	0.988	0.964	3.10E-234
Cd74	1.56E-237	0.353218383	0.997	0.986	2.02E-233
Tomm5	6.96E-229	-0.51658431	0.342	0.557	9.04E-225
Ybx3	9.65E-229	-0.558618577	0.244	0.496	1.25E-224
Eif4a1	8.84E-222	-0.493012531	0.765	0.878	1.15E-217
Kmt2e	4.59E-221	0.485020819	0.897	0.755	5.97E-217
Ran	1.43E-219	-0.506692244	0.696	0.821	1.86E-215
Il4i1	1.33E-218	0.698973414	0.842	0.759	1.72E-214
Ranbp1	7.25E-214	-0.494421771	0.541	0.73	9.42E-210
Hdgf	4.47E-211	-0.489304352	0.469	0.683	5.80E-207
Nsun2	1.82E-201	-0.459229577	0.307	0.544	2.36E-197
Cyba	4.64E-201	0.393598553	0.971	0.941	6.03E-197
Ldha	1.14E-199	-0.478700704	0.378	0.6	1.48E-195
Hint1	6.88E-197	-0.453588646	0.622	0.776	8.94E-193
Rpl13	1.35E-195	-0.222831259	1	1	1.75E-191
Mat2a	1.09E-193	-0.48727821	0.663	0.809	1.42E-189
Eef1g	2.26E-192	-0.398303622	0.859	0.926	2.93E-188
Gnai2	7.38E-191	0.42221248	0.841	0.681	9.59E-187
Apex1	1.18E-188	-0.448281437	0.225	0.494	1.53E-184
Ncf1	2.69E-188	0.490183823	0.805	0.679	3.50E-184
Timm9	9.42E-188	-0.434122474	0.256	0.513	1.22E-183
Cdv3	1.38E-187	-0.459495854	0.553	0.724	1.79E-183
Ppan	2.78E-187	-0.441002761	0.213	0.477	3.61E-183
Rsl1d1	6.99E-184	-0.435019584	0.379	0.594	9.09E-180
Cd37	1.09E-181	0.418756804	0.94	0.862	1.41E-177
Marcks	4.26E-181	0.540589316	0.827	0.725	5.54E-177
Pbxip1	1.10E-180	0.406594651	0.546	0.328	1.43E-176
Ddx5	6.00E-180	0.338430699	0.995	0.986	7.80E-176
G3bp1	6.99E-176	-0.433018411	0.682	0.815	9.08E-172
Pabpc1	5.27E-175	-0.398363195	0.915	0.95	6.85E-171
Noc2l	2.52E-171	-0.413828059	0.31	0.534	3.28E-167
Eef1b2	6.65E-170	-0.323309956	0.955	0.981	8.64E-166
Eprs	1.19E-169	-0.466473249	0.526	0.704	1.54E-165
Ly6a	1.82E-168	0.556163842	0.604	0.385	2.37E-164
Gar1	1.71E-167	-0.404202446	0.247	0.49	2.22E-163
Atad3a	7.68E-163	-0.44026652	0.197	0.442	9.99E-159
Cct3	1.13E-162	-0.414383269	0.562	0.725	1.47E-158
Ly6e	1.86E-162	0.354317036	0.987	0.976	2.42E-158
Rpl14	2.76E-162	-0.293941957	0.99	0.994	3.59E-158
Gpatch4	3.64E-161	-0.431235294	0.187	0.452	4.73E-157
Ptprc	9.93E-161	0.43667321	0.889	0.763	1.29E-156
Ubb	1.52E-160	0.31635743	0.981	0.95	1.98E-156
Myl6	2.36E-160	0.354767003	0.863	0.76	3.06E-156
Slc25a5	8.89E-159	-0.412550808	0.621	0.763	1.16E-154
Rcc2	2.51E-156	-0.390963135	0.508	0.69	3.26E-152
Pus7	1.19E-155	-0.472985888	0.132	0.406	1.55E-151
Rbm5	3.89E-154	0.375998623	0.777	0.618	5.05E-150
Eif3b	3.27E-153	-0.391885163	0.468	0.645	4.25E-149
Ftsj3	3.51E-153	-0.393119425	0.363	0.569	4.56E-149
Aprt	7.56E-153	-0.395927024	0.279	0.488	9.83E-149
Ppp1r11	1.57E-151	0.36570081	0.657	0.498	2.04E-147
Wdr12	1.94E-149	-0.386474667	0.262	0.485	2.52E-145
Cd53	1.87E-147	0.415981897	0.78	0.635	2.43E-143
Nol8	1.85E-146	-0.392534125	0.288	0.51	2.41E-142
Clic1	2.02E-144	0.358935996	0.75	0.577	2.62E-140
Rpl10a	2.51E-144	-0.27469586	0.984	0.993	3.26E-140
Coro1a	2.68E-142	0.380326132	0.891	0.766	3.48E-138
Mrpl12	3.16E-142	-0.35081547	0.327	0.523	4.11E-138
Nop10	4.04E-142	-0.400088764	0.57	0.712	5.25E-138
Dctpp1	4.98E-141	-0.394025226	0.228	0.443	6.47E-137
Tpt1	2.52E-140	0.160292856	1	1	3.27E-136
Syncrip	6.64E-140	-0.402775705	0.67	0.788	8.63E-136
Nifk	1.76E-139	-0.379436167	0.244	0.463	2.29E-135
Akap13	7.92E-139	0.367377448	0.869	0.761	1.03E-134
Ubl5	1.20E-138	0.324916002	0.847	0.76	1.56E-134
Napsa	2.71E-138	0.360549701	0.84	0.746	3.52E-134
Ebna1bp2	1.79E-136	-0.365856977	0.324	0.518	2.32E-132
Heatr1	9.37E-136	-0.367813726	0.248	0.457	1.22E-131
Actb	8.43E-135	0.302295604	0.999	0.999	1.10E-130
Rel	8.71E-135	0.414153651	0.952	0.9	1.13E-130
Ubc	9.32E-132	0.329942243	0.889	0.806	1.21E-127
Abce1	1.48E-131	-0.357581169	0.415	0.607	1.92E-127
Npm3	3.38E-131	-0.374969677	0.289	0.476	4.40E-127
Alkbh1	4.34E-131	-0.354260323	0.413	0.61	5.65E-127
Ms4a1	6.54E-131	0.42316971	0.889	0.809	8.50E-127
Ms4a4c	7.63E-131	0.4258863	0.602	0.452	9.91E-127
Filip1l	2.36E-130	0.408272925	0.624	0.443	3.07E-126
Atic	2.17E-129	-0.386085484	0.193	0.427	2.82E-125
Pfn1	2.55E-129	0.288615318	0.986	0.982	3.31E-125
Rpl18	3.03E-129	-0.224122074	0.998	0.999	3.94E-125
Rpl37a	7.19E-129	0.17087523	0.999	1	9.34E-125
Slamf6	1.39E-128	0.399581191	0.481	0.291	1.80E-124
Hspa9	5.04E-128	-0.365765374	0.48	0.64	6.54E-124
Chd3	2.54E-127	0.352996527	0.547	0.377	3.31E-123
Tomm20	3.03E-127	-0.345984323	0.615	0.74	3.93E-123
Srgn	1.60E-126	0.374241323	0.912	0.836	2.07E-122
Cd19	5.59E-126	0.341095003	0.858	0.774	7.26E-122
Rpl15	6.15E-126	-0.264142753	0.985	0.992	7.99E-122
Eif1a	1.76E-125	-0.355329008	0.322	0.516	2.29E-121
Jund	1.79E-125	0.393825383	0.875	0.773	2.33E-121
Calr	1.94E-125	0.379082011	0.803	0.728	2.52E-121
Srsf2	8.39E-125	-0.356213282	0.782	0.87	1.09E-120
Rack1	6.36E-123	-0.248285583	0.988	0.993	8.26E-119
Bzw2	1.21E-122	-0.432366982	0.132	0.385	1.57E-118
Sec61g	2.66E-122	0.295446508	0.852	0.763	3.46E-118
Pebp1	1.48E-121	-0.329776438	0.427	0.601	1.92E-117
Arhgdib	5.78E-121	0.368671625	0.781	0.634	7.51E-117
Eif3a	1.35E-120	-0.373418544	0.817	0.889	1.76E-116
Mrto4	1.13E-119	-0.348691419	0.229	0.439	1.47E-115
Pfdn5	2.37E-119	0.271339145	0.893	0.818	3.08E-115
Rps27l	5.65E-119	-0.360923469	0.599	0.72	7.34E-115
Gm47283	3.91E-118	-0.4105482	0.174	0.368	5.08E-114
Hsp90ab1	4.66E-118	-0.383808882	0.984	0.991	6.05E-114
Marcksl1	2.64E-117	0.47968705	0.758	0.638	3.43E-113
Trp53	5.47E-117	-0.325613922	0.468	0.639	7.11E-113
Mphosph10	8.54E-117	-0.33014618	0.415	0.595	1.11E-112
Gtpbp4	5.02E-116	-0.35355136	0.529	0.679	6.52E-112
Tomm40	9.46E-116	-0.328575015	0.302	0.485	1.23E-111
H3f3a	1.23E-115	0.273444877	0.996	0.989	1.60E-111
Bcl2a1d	1.32E-115	0.421622299	0.655	0.553	1.71E-111
Impdh2	1.69E-115	-0.331742745	0.369	0.535	2.19E-111
Rps8	4.05E-115	-0.199152932	1	1	5.27E-111
Limd2	7.79E-115	0.345618732	0.771	0.638	1.01E-110
Iglc3	4.42E-114	0.426601543	0.862	0.775	5.74E-110
Tkt	8.18E-114	-0.33516645	0.366	0.542	1.06E-109
Ipo5	1.01E-113	-0.34370404	0.239	0.435	1.31E-109
Hnrnpab	1.20E-113	-0.355583518	0.633	0.754	1.56E-109
Ier5	3.20E-113	0.32987063	0.822	0.732	4.16E-109
Sp140	4.50E-113	0.352394446	0.502	0.33	5.85E-109
Sri	1.08E-112	0.314944796	0.571	0.416	1.40E-108
Ndufaf4	1.16E-112	-0.359960151	0.231	0.431	1.50E-108
Dennd4a	1.55E-112	0.354019284	0.913	0.847	2.01E-108
Cd79a	1.59E-112	0.359493827	0.969	0.931	2.07E-108
Fam111a	7.72E-112	0.36292482	0.565	0.401	1.00E-107
Llph	7.99E-112	-0.342337265	0.631	0.76	1.04E-107
Snhg12	2.63E-111	-0.330775753	0.282	0.462	3.42E-107
Fam162a	1.93E-110	-0.34044179	0.226	0.421	2.51E-106
Nop16	8.20E-110	-0.345348125	0.222	0.423	1.07E-105
Cct8	1.51E-109	-0.329760487	0.542	0.677	1.96E-105
Cct5	1.02E-108	-0.324245114	0.57	0.7	1.32E-104
Il2rg	1.41E-108	0.313782182	0.699	0.559	1.84E-104
Ccr7	7.39E-108	0.381290806	0.846	0.754	9.60E-104
Pdcd11	9.88E-108	-0.333664052	0.425	0.581	1.28E-103
Kcnq1ot1	1.02E-107	-0.555032692	0.57	0.773	1.33E-103
Snrpd3	3.35E-107	-0.320200583	0.543	0.681	4.35E-103
Aldoa	4.01E-107	0.297161557	0.847	0.777	5.21E-103
Xiap	1.00E-106	0.301076428	0.599	0.433	1.31E-102
Sat1	1.34E-106	0.31749796	0.441	0.265	1.74E-102
Tnfrsf13b	3.08E-106	0.386804594	0.473	0.327	4.00E-102
Snrpd1	3.46E-106	-0.319645237	0.529	0.656	4.50E-102
Cd52	1.13E-105	0.292017538	0.994	0.983	1.47E-101
Spib	1.55E-105	0.349245791	0.728	0.569	2.02E-101
Prmt1	9.99E-105	-0.306059709	0.405	0.569	1.30E-100
mt-Co1	3.05E-104	0.183014072	0.999	0.998	3.97E-100
Ltb	2.00E-103	0.390730557	0.846	0.746	2.60E-99
Slc7a1	2.72E-103	-0.347451428	0.238	0.427	3.53E-99
Iglc2	6.04E-103	0.435167202	0.92	0.828	7.85E-99
Nap1l1	9.78E-103	-0.335848066	0.642	0.761	1.27E-98
Bola2	2.43E-102	-0.317608658	0.544	0.665	3.16E-98
Nfkbia	2.87E-102	0.334949083	0.931	0.899	3.73E-98
Cytip	8.99E-102	0.366355359	0.664	0.531	1.17E-97
Larp4	3.02E-101	-0.319217518	0.436	0.597	3.92E-97
Rpl12	4.28E-101	-0.182757326	0.999	0.999	5.57E-97
Arpc2	4.35E-101	0.276145373	0.89	0.816	5.65E-97
Timm8a1	5.09E-101	-0.393050921	0.123	0.37	6.61E-97
Ostf1	9.99E-101	0.288457115	0.512	0.356	1.30E-96
Lyar	1.02E-100	-0.326538244	0.275	0.451	1.33E-96
4930523C07Rik	1.04E-100	0.319934133	0.613	0.451	1.35E-96
Clk1	1.10E-100	0.305780854	0.678	0.545	1.43E-96
Cd72	2.36E-100	0.317620189	0.837	0.765	3.07E-96
Cr2	3.13E-100	0.45541202	0.5	0.343	4.07E-96
Cxcr5	3.31E-100	0.318595778	0.732	0.626	4.30E-96
Ctss	3.43E-100	0.287537159	0.834	0.735	4.46E-96
Eef1d	4.69E-100	-0.298227461	0.617	0.723	6.09E-96
Clec2d	8.21E-100	0.311172906	0.885	0.828	1.07E-95
Rab21	2.31E-99	0.283616629	0.699	0.566	3.00E-95
Tsr1	1.82E-98	-0.3378239	0.181	0.392	2.37E-94
Ddx6	5.64E-97	0.287963906	0.903	0.844	7.32E-93
Phb2	8.35E-97	-0.304949202	0.522	0.651	1.09E-92
Rpsa	2.05E-96	-0.193418793	0.999	0.999	2.67E-92
Snu13	2.62E-96	-0.314434463	0.54	0.665	3.41E-92
Ppa1	3.57E-96	-0.34521329	0.195	0.397	4.64E-92
Mcl1	3.91E-96	0.311302699	0.891	0.816	5.08E-92
Hmgn2	4.58E-96	0.290945707	0.525	0.387	5.95E-92
Sdad1	1.60E-95	-0.306317931	0.245	0.431	2.08E-91
Nfat5	3.34E-95	0.313140576	0.564	0.428	4.34E-91
Eif1	4.17E-95	0.231707323	0.986	0.977	5.42E-91
Atf7ip	4.47E-95	0.302336074	0.512	0.367	5.81E-91
Gpcpd1	4.87E-94	0.307315576	0.633	0.51	6.33E-90
Lsp1	6.16E-94	0.295885559	0.766	0.67	8.00E-90
Pum3	7.04E-94	-0.306325356	0.266	0.444	9.16E-90
Nfkb2	8.96E-94	0.279062178	0.671	0.542	1.16E-89
Vasp	1.42E-93	0.297549507	0.769	0.669	1.84E-89
Hcls1	1.68E-93	0.291277235	0.664	0.551	2.18E-89
Scd1	3.74E-93	0.331815915	0.726	0.603	4.86E-89
Snrpf	4.07E-93	-0.299903831	0.776	0.838	5.29E-89
Sipa1l1	8.89E-93	0.320906502	0.485	0.345	1.16E-88
Gart	1.69E-92	-0.327303713	0.192	0.391	2.20E-88
Msn	1.93E-92	0.274627132	0.893	0.823	2.51E-88
Ftl1	1.93E-92	0.352645652	0.857	0.781	2.51E-88
Arhgef1	2.18E-92	0.300692288	0.679	0.542	2.84E-88
S100a11	3.55E-92	0.316611802	0.601	0.459	4.62E-88
Cebpz	8.86E-92	-0.311797372	0.704	0.804	1.15E-87
Hmgb2	6.45E-91	0.338220433	0.571	0.409	8.38E-87
Grap	1.02E-90	0.297489903	0.836	0.763	1.33E-86
Shisa5	3.19E-90	0.299611724	0.878	0.8	4.15E-86
Chd2	4.22E-90	0.311810024	0.561	0.416	5.48E-86
Luc7l2	5.51E-90	0.27762295	0.904	0.846	7.16E-86
Ly86	5.56E-90	0.289079407	0.749	0.662	7.22E-86
Btla	6.50E-90	0.298136865	0.581	0.456	8.45E-86
Polr2f	9.16E-90	-0.286278925	0.385	0.538	1.19E-85
Taf1d	5.25E-89	-0.321040719	0.491	0.628	6.82E-85
Gtpbp2	5.34E-89	0.270612982	0.45	0.278	6.94E-85
Rps17	7.27E-89	-0.240401874	0.982	0.984	9.45E-85
Eif3g	1.52E-88	-0.288066764	0.516	0.635	1.97E-84
Psmb8	9.81E-88	0.272377929	0.614	0.478	1.27E-83
Zcchc6	1.88E-87	0.289675676	0.609	0.464	2.44E-83
Arap2	3.01E-87	0.34741788	0.778	0.67	3.92E-83
Gnb2	4.19E-87	0.264925793	0.559	0.415	5.45E-83
Gimap6	6.67E-87	0.306036746	0.756	0.629	8.67E-83
Kpnb1	1.44E-86	-0.285350184	0.37	0.518	1.87E-82
Stap1	1.64E-86	0.365965672	0.773	0.675	2.13E-82
Pabpc4	1.77E-86	-0.312078009	0.23	0.401	2.30E-82
Dynll1	4.40E-86	0.269944866	0.762	0.66	5.72E-82
Kmt2a	5.50E-86	0.290441455	0.734	0.612	7.15E-82
Phip	7.84E-86	0.319962175	0.843	0.774	1.02E-81
Eif2s1	1.04E-85	-0.285683554	0.432	0.569	1.36E-81
Tma16	1.43E-85	-0.331041316	0.188	0.38	1.86E-81
Itm2b	1.71E-85	0.270810631	0.561	0.405	2.22E-81
Sh3bgrl3	3.08E-85	0.280189601	0.947	0.895	4.00E-81
Pet100	6.27E-85	0.258881778	0.496	0.359	8.15E-81
Cct2	7.99E-85	-0.29274427	0.627	0.735	1.04E-80
Naca	1.78E-84	-0.253246175	0.905	0.937	2.32E-80
Cdk4	2.15E-84	-0.308546847	0.219	0.392	2.80E-80
Tcf4	3.75E-84	0.350477299	0.568	0.46	4.88E-80
Eif4g1	4.31E-84	-0.303815196	0.685	0.772	5.61E-80
H2-Eb1	1.79E-83	0.302887349	0.962	0.937	2.33E-79
Serinc3	2.29E-83	0.287389369	0.892	0.82	2.97E-79
Syngr2	2.90E-83	0.298574646	0.873	0.814	3.77E-79
Inpp5d	5.07E-83	0.304417084	0.594	0.453	6.59E-79
Sf3b3	5.30E-83	-0.284931381	0.546	0.666	6.89E-79
Lsm7	9.61E-83	-0.272363057	0.339	0.49	1.25E-78
St6galnac4	1.76E-82	-0.352505168	0.136	0.355	2.29E-78
Mia2	2.86E-82	-0.281044089	0.363	0.508	3.71E-78
2810004N23Rik	2.90E-82	-0.282562681	0.389	0.542	3.78E-78
Stk17b	3.64E-82	0.335553128	0.715	0.58	4.73E-78
2410002F23Rik	6.59E-82	-0.292866645	0.219	0.401	8.57E-78
Jun	1.06E-81	0.474405318	0.372	0.264	1.37E-77
Ctsh	1.20E-81	0.261135522	0.497	0.358	1.56E-77
Stat4	4.25E-81	0.2914486	0.563	0.421	5.52E-77
Bhlhe40	9.87E-81	0.36446387	0.499	0.362	1.28E-76
Rrp1b	1.00E-80	-0.378867109	0.131	0.339	1.30E-76
9930111J21Rik2	1.07E-80	0.35761665	0.472	0.322	1.39E-76
Caprin1	1.11E-80	-0.285276193	0.572	0.688	1.44E-76
Fcer2a	1.22E-80	0.357949748	0.888	0.842	1.58E-76
Cblb	4.13E-80	0.270724789	0.485	0.352	5.37E-76
Timm10	4.42E-80	-0.29494611	0.2	0.39	5.75E-76
Lyn	4.68E-80	0.281557924	0.657	0.525	6.09E-76
Tmem243	4.73E-80	0.2713968	0.622	0.511	6.15E-76
Calm2	7.27E-80	0.261855783	0.672	0.548	9.44E-76
Ppp1r18	7.53E-80	0.278696619	0.451	0.297	9.79E-76
Rock1	1.66E-79	0.275090412	0.702	0.588	2.16E-75
Gripap1	3.60E-79	0.268964733	0.598	0.474	4.67E-75
Dnajc7	3.85E-79	0.297724688	0.616	0.523	5.00E-75
Cap1	4.45E-79	0.249677429	0.529	0.395	5.78E-75
Cdc42	5.25E-79	0.234396312	0.882	0.837	6.83E-75
Odc1	7.32E-79	-0.360354516	0.303	0.502	9.51E-75
Ndufa3	3.49E-78	0.241268551	0.654	0.531	4.53E-74
Arpc3	3.62E-78	0.239355305	0.806	0.707	4.70E-74
Nudc	3.99E-78	-0.271030333	0.46	0.577	5.19E-74
Btf3	4.80E-78	-0.249551227	0.905	0.931	6.24E-74
Laptm5	5.05E-78	0.319435822	0.778	0.663	6.56E-74
Fasn	5.44E-78	-0.292259558	0.245	0.417	7.07E-74
Rrs1	8.73E-78	-0.291817193	0.211	0.386	1.13E-73
Celf2	1.05E-77	0.294033383	0.558	0.421	1.36E-73
Cd47	1.13E-77	0.288152832	0.612	0.485	1.46E-73
Mif4gd	1.13E-77	0.250222607	0.792	0.698	1.47E-73
Rpl8	2.28E-77	-0.164616411	0.999	0.999	2.96E-73
Shmt2	3.20E-77	-0.336158145	0.157	0.355	4.16E-73
Nfkbiz	4.61E-77	0.343979093	0.732	0.648	5.99E-73
Rpl4	5.05E-77	-0.215234179	0.972	0.987	6.56E-73
Unc93b1	5.73E-77	0.256474949	0.809	0.722	7.45E-73
Rpl41	6.42E-77	-0.181301003	1	1	8.34E-73
Otud4	1.10E-76	-0.268477698	0.313	0.461	1.42E-72
Srsf6	1.73E-76	-0.266919079	0.531	0.657	2.25E-72
Tap1	1.85E-76	0.262480571	0.414	0.252	2.41E-72
Cct7	2.07E-76	-0.270787911	0.484	0.601	2.69E-72
Uqcrh	2.28E-76	0.223172887	0.853	0.78	2.96E-72
Bcl2a1b	3.61E-76	0.328439591	0.724	0.668	4.69E-72
Rhoa	8.12E-76	0.232457858	0.856	0.793	1.06E-71
Prr13	1.29E-75	0.253027219	0.42	0.273	1.67E-71
Zfp593	1.35E-75	-0.276780532	0.246	0.415	1.76E-71
Apobec3	1.39E-75	0.26392186	0.921	0.855	1.80E-71
Mier3	2.11E-75	0.33078868	0.333	0.133	2.75E-71
Eif3j1	2.37E-75	-0.288699716	0.531	0.643	3.08E-71
Rps27a	2.47E-75	-0.16793642	1	1	3.22E-71
Mef2c	2.97E-75	0.375182947	0.817	0.699	3.86E-71
H2-Ab1	3.57E-75	0.291689352	0.973	0.957	4.65E-71
Ptpn6	8.41E-75	0.28230968	0.687	0.577	1.09E-70
Chd4	1.83E-74	0.247829339	0.943	0.916	2.38E-70
Banf1	3.12E-74	-0.26904044	0.525	0.642	4.06E-70
Bcl10	2.71E-73	0.240699476	0.498	0.36	3.52E-69
Trip12	3.85E-73	0.24279747	0.556	0.427	5.01E-69
Sqstm1	7.28E-73	0.251087706	0.465	0.339	9.46E-69
Jmjd1c	7.62E-73	0.257533412	0.617	0.494	9.90E-69
Sfxn1	8.24E-72	-0.345269334	0.147	0.34	1.07E-67
Ddx27	8.30E-72	-0.266183253	0.387	0.524	1.08E-67
Calm1	1.86E-71	0.242217154	0.898	0.85	2.42E-67
Rhof	1.97E-71	0.246070728	0.468	0.344	2.56E-67
Pcbp1	2.39E-71	-0.26054637	0.658	0.763	3.11E-67
Nfkbie	6.07E-71	0.259944652	0.447	0.323	7.89E-67
Stk4	7.07E-71	0.261176428	0.724	0.646	9.19E-67
Cd81	9.18E-71	0.275851707	0.408	0.273	1.19E-66
Rps12	1.37E-70	-0.183188911	0.998	0.999	1.77E-66
Rasgrp3	2.09E-70	0.282984272	0.492	0.376	2.71E-66
Fubp1	3.26E-70	-0.270575853	0.788	0.857	4.24E-66
Traf1	3.51E-70	0.33067492	0.785	0.709	4.56E-66
Rab8b	6.08E-70	0.249652579	0.521	0.398	7.91E-66
Tmem123	8.44E-70	0.290511626	0.892	0.852	1.10E-65
Tcerg1	1.10E-69	-0.266353567	0.41	0.556	1.43E-65
Rpl27	1.12E-69	0.188717141	0.958	0.941	1.46E-65
Fam107b	1.17E-69	0.252625684	0.814	0.742	1.52E-65
St8sia4	1.24E-69	0.360147319	0.431	0.316	1.61E-65
Cd79b	2.75E-69	0.303670703	0.948	0.891	3.57E-65
Il21r	3.18E-69	0.274270862	0.653	0.536	4.14E-65
Lcp1	4.88E-69	0.236893008	0.935	0.902	6.34E-65
H2-Aa	9.82E-69	0.294946386	0.967	0.945	1.28E-64
Arid4b	1.97E-68	0.257466606	0.599	0.479	2.56E-64
Utp18	2.38E-68	-0.25722588	0.29	0.436	3.10E-64
Actr3	4.38E-68	0.237235186	0.82	0.739	5.69E-64
A630001G21Rik	4.45E-68	0.237485271	0.497	0.375	5.79E-64
Cnbp	8.82E-68	-0.25892764	0.711	0.788	1.15E-63
Oaz1	1.08E-67	0.198059685	0.959	0.932	1.41E-63
Morf4l1	3.08E-67	0.217518861	0.878	0.822	4.00E-63
Utp20	8.17E-67	-0.290803148	0.192	0.36	1.06E-62
Ccr6	8.79E-67	0.299695381	0.385	0.247	1.14E-62
Dazap2	2.11E-66	0.225893578	0.707	0.606	2.74E-62
Selenok	2.12E-66	0.21857565	0.511	0.388	2.76E-62
Polr1d	2.49E-66	-0.245609508	0.562	0.675	3.24E-62
Nipbl	3.05E-66	0.249292078	0.743	0.647	3.97E-62
Tfrc	3.20E-66	-0.326280135	0.156	0.333	4.16E-62
Atp5l	4.44E-66	0.209698885	0.856	0.801	5.77E-62
Rrp9	4.58E-66	-0.281942531	0.188	0.362	5.95E-62
Ppp1ca	6.06E-66	0.228673451	0.7	0.589	7.88E-62
Tars	1.14E-65	-0.26072075	0.315	0.453	1.49E-61
Ddx18	1.23E-65	-0.254862602	0.49	0.613	1.60E-61
Plekha2	1.79E-65	0.249164367	0.526	0.396	2.32E-61
Skil	2.25E-65	0.251903357	0.809	0.715	2.92E-61
Rhog	4.50E-65	0.234901376	0.433	0.297	5.85E-61
Rexo2	5.40E-65	-0.246779751	0.295	0.44	7.02E-61
Relb	5.83E-65	0.226201297	0.501	0.371	7.58E-61
Zdhhc18	6.18E-65	0.231740435	0.593	0.477	8.03E-61
Gpr171	7.17E-65	0.249584191	0.409	0.281	9.32E-61
Psme3	8.74E-65	-0.241551285	0.296	0.44	1.14E-60
Wnk1	9.47E-65	0.261050479	0.842	0.792	1.23E-60
Ybx1	1.12E-64	-0.259307828	0.859	0.894	1.45E-60
Hnrnpu	3.14E-64	-0.267303677	0.888	0.916	4.09E-60
Gm8369	4.36E-64	0.260185033	0.486	0.359	5.66E-60
Slc1a5	5.14E-64	-0.271418531	0.196	0.369	6.68E-60
Mak16	6.16E-64	-0.242836692	0.343	0.483	8.01E-60
Helz2	9.01E-64	0.23135863	0.53	0.406	1.17E-59
Ptbp3	9.55E-64	0.229073541	0.768	0.673	1.24E-59
Ifi27l2a	1.26E-63	0.383215889	0.392	0.251	1.64E-59
H2-Ob	1.73E-63	0.238512114	0.664	0.557	2.25E-59
Cd40	1.82E-63	0.244548056	0.608	0.498	2.36E-59
Rrp15	2.96E-63	-0.290097589	0.175	0.349	3.84E-59
Nop14	4.89E-63	-0.250755194	0.348	0.475	6.35E-59
Tcf12	5.59E-63	0.232503523	0.664	0.565	7.26E-59
Gpx4	3.44E-62	0.237243917	0.422	0.278	4.47E-58
Park7	4.70E-62	-0.239766733	0.524	0.626	6.11E-58
D10Wsu102e	6.72E-62	-0.28558083	0.264	0.403	8.73E-58
Rpl39	1.43E-61	0.141597984	0.999	0.998	1.86E-57
Plek	1.61E-61	0.280315702	0.388	0.255	2.10E-57
