coord	FC	cat
chr1:8731294-8731728	1.12278334071553	no
chr1:8763324-8763666	0.931363722870678	REnh
chr1:8779035-8779317	0.737599223737181	no
chr1:8786474-8786951	1.0471766554571	no
chr1:8854756-8854983	1.04755582874432	no
chr1:8874997-8875287	1.06228198045467	no
chr1:8891417-8891718	0.75058029106528	no
chr1:8908818-8909396	0.913027038641323	no
chr1:8919499-8919925	0.959238168595062	no
chr1:8922504-8922841	1.17795696925192	SE
chr1:8931600-8931986	1.40713147688848	promoter
chr1:8933696-8934018	1.20887447500656	SE
chr1:8937986-8938385	0.947437014408097	promoter
chr1:8939416-8939611	1.21987714609362	promoter
chr1:8950032-8950224	0.408844171458569	SE
chr1:8959964-8960282	1.02645124973398	SE
chr1:8963550-8964272	0.912897161478487	SE
chr1:8978047-8978696	0.973796752896284	no
chr1:9022932-9023346	1.41327152245148	no
chr1:9047850-9048543	1.17795696925192	REnh
chr1:9053371-9053665	2.11719176201092	no
chr1:9065114-9065593	1.06178764289571	REnh
chr1:9070062-9070479	1.05104681585553	no
chr1:9161468-9162001	0.976940421598006	no
chr1:9170749-9171376	0.976706596460785	no
chr1:9177318-9177561	2.97219606148993	no
chr1:9202269-9202644	0.983329932632795	no
chr1:9224085-9224266	1.43292601021553	REnh
chr1:9241369-9241725	0.956484448593506	REnh
chr1:9256217-9256996	1.03719265640048	no
chr1:9277311-9277645	0.923157624821385	no
chr1:9279688-9279874	0.885296852667589	no
chr1:9294469-9294994	1.26845302322774	promoter
chr1:9310047-9310433	1.02110517574301	no
chr1:9327110-9327731	1.07439188240789	REnh
chr1:9335591-9335833	3.06850519150808	REnh
chr1:9340336-9340811	1.26189689580193	REnh
chr1:9348955-9349567	1.08432541559692	no
chr1:9352580-9353371	0.875639873568564	promoter
chr1:9353507-9353864	1.07119349771851	promoter
chr1:9354441-9354717	0.512665657714289	promoter
chr1:9355063-9355387	0.938047199546842	no
chr1:9419987-9420272	1.13102641270801	no
chr1:9460768-9461014	0.849443073444609	no
chr1:9464560-9464903	1.11083691402389	no
chr1:9473291-9473751	1.17795696925192	REnh
chr1:9488813-9488989	0.90401348803054	promoter
chr1:9508190-9508558	1.2283688224296	no
chr1:9515436-9516334	0.980553027568555	no
chr1:9550887-9551540	1.06180344287209	no
chr1:9555219-9555854	1.011461284552	REnh
chr1:9606707-9607010	1.17795696925192	no
chr1:9633680-9634131	0.9164792846233	no
chr1:9648525-9648845	0.802920018115271	promoter
chr1:9675679-9675985	1.2538318142923	no
chr1:9686960-9687515	1.11578600223148	no
chr1:9750215-9750390	1.09994657393722	no
chr1:9762319-9762669	0.770724726360729	no
chr1:9781910-9782172	1.11083691402389	no
chr1:9784965-9785505	0.985390439948707	no
chr1:9844566-9845140	0.972528488863449	no
chr1:9852282-9852643	0.967294023931156	no
chr1:9888046-9888229	1.31572971419366	no
chr1:9921450-9921746	1.50179393674385	no
chr1:9927412-9927976	0.975845739913654	no
chr1:9934895-9935473	1.02374659541352	no
chr1:9938174-9938341	0.943537671888351	no
chr1:9946303-9946515	1.0102762618851	no
chr1:9953327-9953572	0.868781911705481	REnh
chr1:9974356-9974914	1.07985228412683	no
chr1:10002308-10003681	0.765619614248279	promoter
chr1:10010310-10010789	0.92340116822503	REnh
chr1:10057041-10057375	0.500970205314033	promoter
chr1:10092437-10092888	0.928036820188567	promoter
chr1:10093682-10093928	0.813640380823489	promoter
chr1:10094519-10094786	1.31613373983865	promoter
chr1:10168376-10168620	0.813640380823489	no
chr1:10211701-10211916	0.85814964728307	no
chr1:10212932-10213406	0.956702842795884	no
chr1:10269816-10270664	1.07556639902852	promoter
chr1:10271553-10271720	0.812131823521507	promoter
chr1:10290926-10291089	1.5680089458254	no
chr1:10319571-10319743	0.760241731928541	no
chr1:10382952-10383146	0.902411479368427	no
chr1:10398011-10398513	1.0781864749618	no
chr1:10437448-10437885	0.906310707998854	no
chr1:10488027-10488524	0.926046134358433	promoter
chr1:10490252-10490679	1.09802157960496	promoter
chr1:10554609-10555455	0.86935741853442	no
chr1:10567319-10567929	0.941496946747435	no
chr1:10574465-10575046	1.03596316080367	no
chr1:10590319-10590709	0.893521064936299	REnh
chr1:10622087-10622322	1.17795696925192	no
chr1:10658445-10658711	1.09782384209192	no
chr1:10690006-10690382	1.10220410949295	no
chr1:10739735-10739984	1.21465344804481	no
chr1:10752299-10752830	1.31100163128732	no
chr1:10813391-10813642	1.43827895140704	no
chr1:10815681-10816282	1.27863705209396	no
chr1:10848838-10849123	0.786030436044255	no
chr1:10853812-10854235	0.994188331303099	REnh
chr1:10856572-10856913	0.768825749830122	promoter
chr1:10896000-10896391	1.15958010545703	REnh
chr1:10926897-10927597	0.957886345694527	REnh
chr1:10969731-10970387	1.02139703181812	no
chr1:11001871-11002432	1.04364933358939	no
chr1:11021088-11021373	0.998572659213553	no
chr1:11097584-11098136	1.01223181252636	no
chr1:11124020-11124340	0.884135502998604	no
chr1:11301764-11302136	1.04560225360563	no
chr1:11322806-11323044	1.00001785002957	promoter
chr1:11332808-11332994	0.802512516900708	promoter
chr1:11346281-11346628	1.28016581690935	no
chr1:11380202-11380673	0.958523833574167	no
chr1:11397529-11397967	0.900021251316003	no
chr1:11424242-11424588	1.01619009457313	no
chr1:11458615-11458808	0.971297851839299	no
chr1:11538752-11539178	1.26079501209664	promoter
chr1:11595968-11596135	0.638434693258672	no
chr1:11632232-11632541	0.997196309008655	no
chr1:11654305-11654508	0.698245986298647	no
chr1:11677494-11677678	0.373141648645017	no
chr1:11702253-11702895	1.01478060136603	no
chr1:11705659-11706101	0.932083598060814	no
chr1:11710383-11710905	1.06463133885889	REnh
chr1:11713371-11713633	0.690724159585673	promoter
chr1:11724081-11724519	0.895066246568939	promoter
chr1:11736755-11737164	0.887462032321727	no
chr1:11750622-11751022	0.785992303476322	promoter
chr1:11771039-11771513	0.934409697869714	no
chr1:11779654-11780272	0.981051674490042	no
chr1:11809167-11809619	0.971986141988883	REnh
chr1:11845191-11845760	0.895473283579994	no
chr1:11898612-11899317	1.10671802056005	no
chr1:11925613-11925881	1.19823161588276	no
chr1:11942046-11942355	0.857666554651697	no
chr1:11953910-11954396	1.06083932186423	no
chr1:11967736-11968038	0.850409717245719	SE
chr1:11969566-11969874	0.218317890431618	SE
chr1:12026995-12027606	1.06138527511516	no
chr1:12042095-12042359	1.17795696925192	promoter
chr1:12061682-12061983	1.0604550271819	no
chr1:12091230-12091661	1.18996468555418	no
chr1:12139685-12139963	0.942793145989283	no
chr1:12166887-12167313	0.980068530562381	no
chr1:12178625-12179044	1.04125016430972	no
chr1:12184793-12185456	1.109777402497	no
chr1:12185937-12186204	1.39148391231873	no
chr1:12186486-12186746	0.970691813371813	no
chr1:12219914-12220238	1.20014071631881	no
chr1:12221907-12222150	1.64757436563142	REnh
chr1:12224787-12225033	1.42947803030215	no
chr1:12238165-12238431	1.52569334393883	REnh
chr1:12239123-12239317	1.0521964387268	REnh
chr1:12248394-12248557	1.30740279004883	no
chr1:12256799-12257349	1.01105777152047	no
chr1:12259367-12259939	1.24587248958034	no
chr1:12263164-12263433	1.83644223156665	no
chr1:12268658-12269374	1.02002627678445	no
chr1:12289848-12290171	0.936242132880114	promoter
chr1:12304199-12304559	1.13185297828315	no
chr1:12332129-12332531	1.13312511504632	no
chr1:12335473-12335818	1.01750880090886	no
chr1:12374314-12375015	0.924632889842902	no
chr1:12399574-12399761	0.954647591194681	no
chr1:12467343-12467885	0.995019695161477	no
chr1:12494379-12494595	1.79205775890931	no
chr1:12535651-12535850	1.920812715627	REnh
chr1:12538135-12538757	1.57022471611347	REnh
chr1:12540853-12541204	1.23527847627147	REnh
chr1:12546549-12546827	1.08270438413721	REnh
chr1:12561704-12562099	1.12329539295252	REnh
chr1:12599739-12600664	1.44402527852853	REnh
chr1:12609758-12610334	1.2037328329117	REnh
chr1:12633944-12634152	1.22488752579582	REnh
chr1:12655974-12656180	1.49632371769838	no
chr1:12656399-12656628	3.00296072443094	REnh
chr1:12661257-12661750	1.01121868051518	REnh
chr1:12664439-12664711	2.34902530125674	REnh
chr1:12677143-12678619	0.876110212236691	promoter
chr1:12678982-12680422	1.04763597695607	promoter
chr1:12681646-12681912	1.35848677296868	no
chr1:12718818-12719449	1.10557124807707	no
chr1:12820368-12820613	0.943537671888351	no
chr1:12841657-12842047	1.23861386777158	no
chr1:12843842-12844404	1.35060889012828	no
chr1:12937116-12937283	1.32338375557931	no
chr1:13038600-13038786	1.87773338662929	no
chr1:13795853-13796114	0.796946628793076	no
chr1:13843790-13844068	1.06432767961347	no
chr1:13870378-13870784	1.17795696925192	REnh
chr1:13897521-13897707	2.0505176872163	no
chr1:13992108-13992764	0.964300928879743	no
chr1:14052330-14052825	1.15059443802655	no
chr1:14075854-14076029	0.527152013864117	promoter
chr1:14085722-14085889	0.722393500480457	no
chr1:14091546-14091795	0.819022712693161	no
chr1:14115333-14115529	0.992937549997688	no
chr1:14133709-14134094	0.876969125772913	no
chr1:14137738-14138011	1.17795696925192	no
chr1:14140023-14140462	0.897935502710256	no
chr1:14155366-14155822	0.938023929928053	REnh
chr1:14256723-14257007	1.34992149031059	no
chr1:14286738-14287306	1.09755035019035	no
chr1:14292242-14292734	0.953080287867496	no
chr1:14421553-14421864	1.64779735584812	no
chr1:14440353-14440717	0.919323702549898	no
chr1:14476052-14476251	0.833525106897555	no
chr1:14690678-14690880	0.86591538799313	no
chr1:14722148-14722397	1.0663022802233	no
chr1:14741917-14742184	1.22683485179349	no
chr1:14761734-14762220	0.888443735641614	no
chr1:14864858-14865142	0.847688660115865	no
chr1:14893615-14893966	1.23261854555131	no
chr1:14898383-14898647	1.13603679241021	no
chr1:14933209-14933453	0.513599459478601	no
chr1:15058384-15058746	1.45190045047329	REnh
chr1:15068837-15069079	0.907162263676763	REnh
chr1:15096042-15096323	1.01603848550595	no
chr1:15105638-15106085	1.2956456764433	no
chr1:15109468-15109966	0.785926916093592	no
chr1:15114158-15114348	1.66471604745519	no
chr1:15131129-15131504	1.33202981897571	no
chr1:15176937-15177464	1.29803413227454	no
chr1:15241828-15242225	0.990767439518354	no
chr1:15251016-15251432	0.852830841857544	promoter
chr1:15309841-15310015	0.971297851839299	no
chr1:15326649-15326901	1.47061708583624	no
chr1:15353867-15354417	1.19089444282964	REnh
chr1:15364666-15365073	1.41315636411087	no
chr1:15372831-15373560	0.95921347832011	no
chr1:15382130-15382304	1.02193617862252	no
chr1:15389059-15389321	1.33449610137842	no
chr1:15426646-15427247	0.949134895095332	no
chr1:15437260-15437706	0.96556528270164	no
chr1:15454973-15455656	0.981002228750884	no
chr1:15478726-15479477	1.08857059415197	promoter
chr1:15480102-15480932	1.06087676247922	promoter
chr1:15481151-15481408	0.750903083118291	promoter
chr1:15500872-15501399	1.42393406259918	REnh
chr1:15505355-15505648	0.816435648765395	REnh
chr1:15526788-15527519	0.977686078034434	REnh
chr1:15530231-15530611	1.2538318142923	no
chr1:15598819-15599467	1.2077140922572	no
chr1:15610131-15610302	1.56736423181453	no
chr1:15614756-15614961	1.34543900279484	no
chr1:15631056-15631653	1.08459181977356	no
chr1:15649853-15650576	1.04276013087054	REnh
chr1:15651951-15652246	1.06786753287323	no
chr1:15664274-15664437	1.17795696925192	REnh
chr1:15682703-15683202	0.804595013863036	REnh
chr1:15683504-15683689	1.736230414395	REnh
chr1:15691179-15691645	1.07024045998002	no
chr1:15736171-15736459	0.458304801541742	promoter
chr1:15747550-15747745	0.922987928288298	no
chr1:15757425-15758058	1.01428869100773	no
chr1:15827886-15828249	1.25151360426319	no
chr1:15853443-15853667	2.09693049136334	promoter
chr1:15921510-15921961	0.954743762330795	no
chr1:16029565-16029920	1.11140572805124	no
chr1:16046314-16046477	1.75728006888401	no
chr1:16067756-16068253	0.921141998579964	no
chr1:16089055-16089278	1.12465574892378	no
chr1:16110708-16110970	1.03560567387404	no
chr1:16114619-16114912	0.976596803567828	REnh
chr1:16118481-16119051	0.979590872674202	no
chr1:16121579-16122066	0.924793018843793	REnh
chr1:16123146-16123559	0.883801993956318	REnh
chr1:16126646-16127148	0.802920018115271	REnh
chr1:16129823-16130280	1.07168743004113	no
chr1:16141978-16142456	1.01832417838774	no
chr1:16160978-16161150	1.23656179359281	SE
