coord	FC	cat	catG
chr1:1508976-1510928	0.981647617985498	promoter	no
chr1:1535591-1535879	0.710417526383107	promoter	none
chr1:1550761-1551232	0.789829229789317	promoter	no
chr1:1551407-1551666	2.20458181457411	promoter	no
chr1:1562468-1565311	0.711367142392367	SE	no
chr1:1590213-1591503	0.750191065999707	no	no
chr1:1617526-1618107	0.477964837426802	SE	no
chr1:1623756-1624809	0.761880450698199	promoter	no
chr1:1655521-1656629	0.795451302721651	promoter	no
chr1:1677052-1678097	0.714442492383555	promoter	no
chr1:1709086-1710852	0.666462272594519	promoter	no
chr1:1720594-1720812	1.40472918771771	no	no
chr1:1821197-1823416	0.782184782317926	promoter	no
chr1:1839952-1840616	0.856033077166423	REnh	none
chr1:1840757-1841435	0.596450338397832	REnh	none
chr1:1849936-1850647	0.408914066910171	promoter	no
chr1:1875532-1875801	0.919597091879204	REnh	none
chr1:1891460-1891800	1.11148207720694	REnh	no
chr1:1976174-1976611	0.672411185917673	REnh	none
chr1:1980842-1981675	0.581004782780939	promoter	none
chr1:1981869-1982602	0.846441991874975	promoter	no
chr1:2071364-2072093	0.642432919386907	REnh	no
chr1:2105812-2106077	0.617505536550416	no	no
chr1:2125671-2126233	1.30161236072671	promoter	no
chr1:2126595-2126965	0.630721763654747	promoter	no
chr1:2143633-2144658	0.741732891508492	promoter	no
chr1:2158357-2159172	0.881970767782096	promoter	none
chr1:2160565-2160906	1.26908570128884	promoter	no
chr1:2245627-2246906	0.998527285380022	REnh	none
chr1:2313209-2313474	0.89728262533879	no	no
chr1:2322550-2323034	0.805271026590293	promoter	no
chr1:2323217-2324022	1.51657572633242	promoter	no
chr1:2343140-2346224	0.681849663298512	promoter	no
chr1:2457103-2458098	0.72302184227973	promoter	no
chr1:2477612-2479092	0.490688804151193	REnh	none
chr1:2479279-2480763	0.904164916644089	REnh	none
chr1:2486341-2486656	0.940684536299859	no	none
chr1:2509601-2510310	0.40760932010059	no	none
chr1:2517032-2517908	0.891737709646338	promoter	down
chr1:2518252-2518852	0.535283253882603	promoter	down
chr1:2573599-2574683	0.783277611010134	REnh	none
chr1:2929069-2929422	0.873731900264282	no	none
chr1:2986131-2986816	0.673518357582274	promoter	no
chr1:3223267-3223544	1.5553667160733	no	no
chr1:3229377-3230585	1.43578166066821	REnh	no
chr1:3236351-3237198	1.18802395071906	REnh	no
chr1:3237308-3237531	0.903757051476113	REnh	no
chr1:3326762-3327043	2.48486873763104	no	no
chr1:3341299-3341564	0.673917952178895	no	no
chr1:3370697-3372133	0.802641741777067	promoter	no
chr1:3400440-3400777	1.12658036014784	REnh	none
chr1:3420294-3420816	1.17185564576128	no	up
chr1:3420980-3421743	1.90320453199561	no	up
chr1:3426064-3426923	3.03826410031477	no	up
chr1:3427025-3427505	2.44727750263597	no	up
chr1:3447629-3447998	0.383024436777322	REnh	up
chr1:3481810-3482135	1.04809081605981	no	up
chr1:3527516-3528034	0.425664259103112	promoter	up
chr1:3531702-3532013	0.936030074971182	no	none
chr1:3541588-3541838	1.2283832250948	promoter	no
chr1:3566173-3566621	0.964881278831345	promoter	no
chr1:3568542-3569531	0.84534093681134	promoter	no
chr1:3688670-3689052	0.760407399581495	promoter	none
chr1:3689332-3689553	0.811544576402055	promoter	no
chr1:3692722-3692953	0.517913479342176	REnh	none
chr1:3712127-3713698	0.972575551175526	promoter	no
chr1:3773492-3773760	0.79264309281516	promoter	no
chr1:3773964-3774604	0.559770393596135	promoter	down
chr1:3816249-3817912	0.794562317050208	promoter	no
chr1:3827426-3827715	1.06983132925128	REnh	no
chr1:5569950-5570335	0.937507951378463	no	none
chr1:5681144-5681372	0.728513301882406	no	none
chr1:5697315-5697591	0.851943074821282	no	none
chr1:5805853-5806208	0.936030074971182	no	none
chr1:6051860-6052471	0.634247471367794	promoter	no
chr1:6052810-6053410	1.40758031183105	promoter	no
chr1:6085510-6086641	0.557859003280967	promoter	no
chr1:6168926-6169293	0.892282471395158	no	no
chr1:6231546-6231891	0.65571818234805	no	no
chr1:6245854-6246150	0.93909837659328	no	no
chr1:6258681-6260366	0.764859737342895	promoter	no
chr1:6264893-6267048	0.625428479253183	promoter	no
chr1:6279877-6281042	0.492701551272813	SE	no
chr1:6284912-6285143	0.680285723083998	SE	no
chr1:6295508-6296025	0.624331738438131	promoter	no
chr1:6296180-6296460	0.728352216360075	promoter	no
chr1:6305118-6305487	0.681279939853647	promoter	none
chr1:6306788-6307147	0.735264087227153	no	none
chr1:6309338-6309585	0.310033900093777	REnh	no
chr1:6408152-6408499	1.09719274432164	no	no
chr1:6423171-6423397	0.801122601073344	no	no
chr1:6445890-6446522	0.917374852325434	promoter	no
chr1:6453227-6454609	0.553306317980066	promoter	no
chr1:6464724-6465050	0.778588680634777	REnh	none
chr1:6473632-6473859	0.73649652325942	no	none
chr1:6474290-6475655	0.945429407932369	REnh	no
chr1:6479577-6480935	0.592354416699456	promoter	no
chr1:6483538-6483831	0.758550670474263	promoter	none
chr1:6484512-6485461	0.62853677424898	promoter	no
chr1:6507011-6507981	0.465542544138449	SE	no
chr1:6508169-6508592	0.685832566874113	SE	no
chr1:6546504-6546872	0.744529401149415	promoter	no
chr1:6550030-6552331	0.715474255864436	promoter	no
chr1:6557648-6558002	0.472617455033174	promoter	no
chr1:6613938-6614793	1.16853810870436	promoter	down
chr1:6640089-6640355	0.618078848551841	promoter	no
chr1:6661409-6664535	0.652372056148232	promoter	no
chr1:6672991-6673640	0.685495225162461	promoter	none
chr1:6673762-6675624	0.976856933621093	promoter	no
chr1:6684978-6685947	0.945561224521457	promoter	no
chr1:6760984-6762455	0.974245805217709	promoter	no
chr1:6780098-6780325	0.669675617824641	no	none
chr1:6844147-6845116	0.771108377425265	promoter	none
chr1:6845851-6846325	0.791594941367522	promoter	no
chr1:6920550-6920783	0.421201433991944	no	no
chr1:6949960-6950245	0.914624188888195	no	no
chr1:7020263-7022648	0.317051116916131	REnh	no
chr1:7023547-7024289	0.188198358976244	REnh	no
chr1:7058374-7058699	0.860101137389644	REnh	no
chr1:7102852-7103136	0.814294356028616	no	no
chr1:7130580-7130801	0.674590726414873	no	no
chr1:7278365-7278681	0.716193554862955	no	no
chr1:7284854-7285170	0.779782233569198	no	no
chr1:7324999-7325560	0.716193554862955	no	no
chr1:7325675-7326876	0.848780013536125	REnh	no
chr1:7358765-7362644	0.788300929953512	REnh	no
chr1:7362830-7363068	0.668750809293189	no	no
chr1:7363863-7364263	0.509016225017848	no	no
chr1:7371888-7374577	0.35679320051845	no	no
chr1:7461838-7463040	0.645202954655924	REnh	no
chr1:7477701-7477977	0.464968438152337	no	no
chr1:7514110-7514485	1.19506937671875	REnh	no
chr1:7531178-7531473	0.465619335384999	REnh	no
chr1:7535196-7535453	0.311846433856383	no	no
chr1:7608766-7610892	0.821759744220192	REnh	no
chr1:7831312-7831877	1.18228493997863	promoter	no
chr1:7843327-7843956	0.67160674983511	promoter	none
chr1:7844375-7845029	1.23519017569458	promoter	no
chr1:7962808-7963126	0.912478325996622	REnh	none
chr1:8013686-8014847	0.696402198632092	REnh	none
chr1:8021122-8022563	0.663159809010229	promoter	no
chr1:8035340-8035723	0.759890610327567	no	no
chr1:8042226-8042828	0.810366975990482	no	no
chr1:8065114-8065549	0.771966121531337	SE	none
chr1:8075029-8075804	1.14092820003929	SE	no
chr1:8077592-8077971	1.10987565709247	SE	no
chr1:8078074-8078871	1.31007839028925	SE	no
chr1:8079121-8081524	1.51844183954123	SE	no
chr1:8081694-8089504	1.08173696199619	promoter	no
chr1:8089608-8102417	0.993499890274539	SE	none
chr1:8102528-8109990	1.04075099237906	SE	none
chr1:8110116-8112166	0.989094175684275	SE	none
chr1:8113125-8113449	0.926525368558196	SE	none
chr1:8113604-8113829	0.90720821828207	SE	none
chr1:8114289-8123260	0.876739410677675	SE	none
chr1:8126429-8126647	1.66087775635823	SE	none
chr1:8128353-8128649	0.614673924444683	SE	none
chr1:8129733-8161872	1.04769879299337	SE	none
chr1:8166755-8167639	0.661589202853982	SE	none
chr1:8173376-8174896	0.738331332310838	SE	none
chr1:8175076-8183919	0.689649253837074	SE	none
chr1:8184317-8184613	1.42722722169867	SE	none
chr1:8185635-8185922	0.599912786221344	SE	none
chr1:8186790-8187018	0.49082150572615	SE	none
chr1:8187929-8189421	0.772194201221367	SE	none
chr1:8189640-8190672	0.68423156558264	SE	none
chr1:8191016-8199605	0.888162474275433	SE	none
chr1:8199876-8200110	0.873731900264281	SE	none
chr1:8201368-8203950	0.852632361499145	SE	none
chr1:8207417-8208332	0.519055406792442	SE	none
chr1:8213192-8216664	0.577377532279419	SE	none
chr1:8224714-8230959	0.883766443493327	SE	none
chr1:8231227-8231737	1.26119615758769	SE	none
chr1:8232009-8235802	0.707326586560811	SE	none
chr1:8236002-8236551	0.77024419634127	SE	none
chr1:8240420-8246347	0.90599342135391	SE	none
chr1:8246660-8247087	1.05603065739841	SE	none
chr1:8247421-8266852	0.887616104832989	SE	none
chr1:8268584-8275807	1.06311354953785	SE	none
chr1:8278605-8279197	1.65344015771797	no	none
chr1:8291390-8293158	1.86926347344892	REnh	none
chr1:8296607-8296840	0.755125759956913	no	none
chr1:8298088-8300074	0.900103736529568	REnh	none
chr1:8317948-8318170	1.66803362777727	no	none
chr1:8318416-8320181	0.837883146430238	REnh	none
chr1:8372451-8372669	1.33663621828509	no	none
chr1:8372802-8376304	0.935961812349944	REnh	none
chr1:8377681-8378705	0.818814747513541	promoter	down
chr1:8403294-8404094	1.01553607883402	no	down
chr1:8408945-8409430	0.758640980361193	no	none
chr1:8411724-8412043	2.13886406354288	no	none
chr1:8434987-8435209	0.873731900264281	no	no
chr1:8483878-8484486	0.777554807093785	promoter	no
chr1:8621206-8621457	0.638947896354494	no	no
chr1:8731449-8731685	0.982676027479279	no	no
chr1:8762339-8762572	0.554427883556404	REnh	no
chr1:8762816-8763589	0.474863421047046	REnh	no
chr1:8876961-8877772	0.608082467864063	promoter	no
chr1:8877944-8878283	0.601116642771526	promoter	none
chr1:8909029-8909285	1.00088623086407	no	none
chr1:8919533-8919833	0.484169906515876	no	none
chr1:8933511-8934101	1.00278005234502	promoter	no
chr1:8934862-8935088	1.4868770934322	SE	no
chr1:8936494-8940550	0.822963050742824	promoter	no
chr1:8950025-8951052	0.582661189884747	SE	none
chr1:8959296-8960983	0.692343929912387	SE	none
chr1:8962815-8963358	0.501096521924857	SE	none
chr1:8963705-8964576	0.478008609706052	SE	none
chr1:9048158-9048447	0.713203729612051	REnh	none
chr1:9170837-9171170	0.694443548636864	no	no
chr1:9188521-9189191	0.503459684466009	promoter	no
chr1:9202372-9202651	0.982676027479279	no	none
chr1:9241346-9243312	1.57290428169123	REnh	none
chr1:9256515-9256861	0.973444527969192	no	none
chr1:9294441-9295689	0.675706538834452	promoter	no
chr1:9327179-9327517	0.812288025421505	REnh	no
chr1:9340218-9340902	0.682092896956925	REnh	none
chr1:9349058-9349459	0.662755837752507	no	none
chr1:9352601-9352877	0.954820707713403	promoter	none
chr1:9353060-9353887	0.54740812799004	promoter	no
chr1:9359918-9360973	0.410475525504428	REnh	no
chr1:9472886-9474044	0.555201650461936	REnh	none
chr1:9488671-9488916	0.600156354193274	promoter	no
chr1:9489149-9489701	0.962797333522618	promoter	none
chr1:9515750-9516214	0.991236670712888	no	none
chr1:9551076-9551457	0.784194899383228	no	none
chr1:9555310-9555633	0.913386903301995	REnh	none
chr1:9598879-9600399	0.479103519058113	promoter	no
chr1:9649331-9649722	0.7962390487996	promoter	down
chr1:9687039-9687391	0.74332415395618	no	none
chr1:9747044-9747638	0.750127033737062	REnh	no
chr1:9749240-9749532	0.888770315070896	REnh	no
chr1:9749705-9749926	0.547103152501933	REnh	no
chr1:9785102-9785445	0.667720217816393	no	no
chr1:9883454-9884093	0.735895141239241	promoter	none
chr1:9927542-9927857	0.843128331078142	no	no
chr1:9934967-9935324	0.873731900264281	no	no
chr1:9950756-9951588	1.56471654563458	REnh	no
chr1:9952929-9953649	0.854185325314297	REnh	no
chr1:9970777-9971148	0.622583547692098	promoter	none
chr1:9974470-9974802	0.699302664276857	no	none
chr1:10002402-10004127	0.615390388136917	promoter	no
chr1:10010434-10010681	0.873731900264281	REnh	no
chr1:10057210-10058103	0.634917337515326	promoter	no
chr1:10092493-10092853	0.686726261682152	promoter	none
chr1:10092989-10093762	0.918833030733109	promoter	no
chr1:10269949-10271755	0.778351801987801	promoter	no
chr1:10290977-10291228	0.985462322292962	no	no
chr1:10459086-10459511	0.489321898314827	promoter	no
chr1:10490244-10491151	0.90414524338636	promoter	no
chr1:10531766-10532669	0.73106991055102	promoter	no
chr1:10534952-10535682	0.894814710680862	promoter	no
chr1:10567539-10567763	0.688954761235582	no	no
chr1:10574597-10574818	0.627343294983681	no	no
chr1:10752502-10752720	0.841490870734234	no	down
chr1:10803474-10804481	7.82017185267596	no	down
chr1:10804718-10805635	9.6110509029071	no	down
chr1:10838613-10839777	0.764074826273247	REnh	down
chr1:10853755-10853981	0.656076266746489	REnh	down
chr1:10856447-10856683	0.300417005077745	promoter	down
chr1:10863893-10864868	0.660090155503508	REnh	none
chr1:10927128-10927505	0.927417424090044	REnh	none
chr1:10960867-10961813	0.660166949804284	REnh	none
chr1:10969918-10970256	0.853459698402001	no	none
chr1:11072439-11073330	0.913215171976469	promoter	down
chr1:11119035-11120021	0.654462729206891	promoter	no
chr1:11120222-11120913	0.810055447355901	promoter	none
chr1:11159267-11160417	0.962380769135441	promoter	no
chr1:11322208-11322626	1.12301346952656	promoter	no
chr1:11322805-11323117	0.873731900264281	promoter	none
chr1:11333202-11334262	0.639857198065881	promoter	no
chr1:11397610-11397908	0.821412624799355	no	none
chr1:11538875-11539185	0.911665267858968	promoter	none
chr1:11710506-11710785	1.03015449110443	REnh	no
chr1:11713240-11715425	0.609212057538037	promoter	no
chr1:11724133-11725098	0.498042413805497	promoter	no
chr1:11740815-11741302	0.865174291055033	promoter	no
chr1:11751157-11751451	0.452317800458358	promoter	no
chr1:11771161-11771425	1.29408401722992	no	no
chr1:11779812-11780137	1.15199046722743	no	no
chr1:11796197-11797062	0.605505908674332	promoter	no
chr1:11850725-11850999	0.450556905834288	REnh	no
chr1:11865039-11865985	0.615471723832793	promoter	no
chr1:11866230-11866754	0.508862501197915	promoter	no
chr1:11898776-11899115	0.912222292346408	no	no
chr1:11954010-11954282	0.854778930627312	no	none
chr1:11967808-11969064	0.718719758286313	SE	none
chr1:11969172-11970180	0.699077443609664	SE	none
chr1:11986631-11987031	0.755460238637983	promoter	none
chr1:11994179-11995406	0.521232527864571	promoter	no
chr1:11999118-11999612	0.809130650706849	SE	no
chr1:12027256-12027550	0.834106870773838	no	no
chr1:12040285-12041016	0.762711328439087	promoter	no
chr1:12061962-12062199	0.370535517913125	no	no
chr1:12079516-12080187	0.341578686672814	promoter	no
chr1:12141188-12142520	0.800366849599215	REnh	none
chr1:12178734-12178983	0.894990583969008	no	none
chr1:12184851-12185266	0.867949425742347	no	none
chr1:12218124-12222939	1.72653421979288	REnh	none
chr1:12237301-12239849	1.55570637185841	REnh	none
chr1:12244045-12244989	1.23463940949929	no	none
chr1:12256868-12257261	1.68216711047322	no	none
chr1:12259562-12259837	0.834985474531941	no	none
chr1:12267105-12267341	4.49652270623813	no	none
chr1:12268859-12269251	0.857860294446583	no	none
chr1:12289966-12290664	1.2341162770919	promoter	no
chr1:12332189-12332479	1.01563731330024	no	no
chr1:12467536-12467759	1.32923194305609	no	no
chr1:12493633-12494244	1.5152384349664	REnh	no
chr1:12535239-12535893	2.51954268192553	REnh	no
chr1:12536093-12536578	2.07799580971945	REnh	no
chr1:12536725-12542086	1.9685732129627	REnh	no
chr1:12545970-12547459	1.38578946056722	REnh	no
chr1:12548443-12548803	1.59781911042805	no	no
chr1:12548986-12549239	2.51738597006838	no	no
chr1:12561528-12562207	2.66600246490896	REnh	no
chr1:12599655-12601790	1.80162594139069	REnh	none
chr1:12608749-12611080	1.70945612946644	REnh	none
chr1:12633098-12633722	1.88276611579259	REnh	up
chr1:12633859-12634623	1.74626854485105	REnh	up
chr1:12655604-12656968	1.69111959987573	REnh	up
chr1:12661293-12661647	1.12277662242987	REnh	up
chr1:12662062-12662453	2.60880234050541	REnh	up
chr1:12664518-12664840	1.97062476206792	REnh	up
chr1:12676045-12680165	1.50962463939226	promoter	up
chr1:12719010-12719307	0.843655070651053	no	none
chr1:13992209-13992504	0.741061112805497	no	none
chr1:14026451-14027323	0.998423506825953	promoter	no
chr1:14052395-14052683	0.873731900264281	no	no
chr1:14075475-14075742	0.728513301882406	promoter	no
chr1:14076106-14076546	0.669747799035266	promoter	no
chr1:14155491-14155732	0.683198464069578	REnh	none
chr1:15105696-15105958	0.638224649519192	no	no
chr1:15131231-15131460	1.0393682794613	no	no
chr1:15177075-15177406	1.32761860170027	no	no
chr1:15251049-15251631	0.557620503641893	promoter	no
chr1:15372952-15373214	1.92586979063488	no	no
chr1:15455053-15455442	0.586252544125623	no	no
chr1:15478815-15481410	0.890601637684913	promoter	no
chr1:15499114-15499455	0.764787773049284	promoter	no
chr1:15500248-15502399	0.849094497283233	REnh	no
chr1:15503382-15503659	1.01297204373269	no	no
chr1:15504845-15506145	0.8379378855054	REnh	no
chr1:15526536-15528443	0.862730491295957	REnh	no
chr1:15528606-15528943	0.65027105620692	no	no
chr1:15562495-15563592	0.715559261885073	REnh	none
chr1:15586241-15588417	1.31467289752753	REnh	no
chr1:15598947-15599401	0.80873590343272	no	no
chr1:15631227-15631588	0.670538435086542	no	no
chr1:15649928-15650485	1.09196280967349	REnh	no
chr1:15663875-15667018	1.33545168569316	REnh	no
chr1:15667121-15667411	0.811470719722883	REnh	no
chr1:15671244-15673611	1.23456513341177	no	no
chr1:15674091-15674957	1.47987416609906	no	no
chr1:15675994-15685601	1.21686953657935	REnh	no
chr1:15691219-15691567	0.832224446570016	no	no
chr1:15736061-15737729	1.0153386279434	promoter	no
chr1:15742350-15744476	1.46449624243219	REnh	no
chr1:15757605-15758034	1.56004698808517	no	none
chr1:15851101-15851339	0.610460517887097	promoter	no
chr1:15851763-15852175	0.536057735910936	promoter	none
chr1:15853219-15853763	0.93465451969003	promoter	no
chr1:15921676-15921932	0.655843645834286	no	none
chr1:15943841-15944832	0.628229000160446	promoter	no
chr1:16010178-16010866	1.04933255376661	promoter	no
chr1:16010980-16011540	1.02456108156761	promoter	no
chr1:16113019-16114030	0.536961574680618	no	none
chr1:16114469-16115826	0.840255582246493	REnh	none
chr1:16118531-16130256	1.04238393015195	REnh	none
chr1:16142021-16142345	0.889306443941006	no	none
chr1:16159551-16163378	0.890382808065966	SE	up
chr1:16173465-16177362	1.21709659161944	promoter	no
chr1:16219803-16220088	0.769301792662973	no	no
chr1:16264391-16264612	1.53797252619619	no	no
chr1:16275789-16276023	0.873731900264281	REnh	no
chr1:16276274-16280333	1.7877027841325	REnh	no
chr1:16301646-16302680	1.24608079370309	promoter	no
chr1:16310918-16313163	1.30232438782018	no	none
chr1:16321039-16321350	0.704894818087609	no	none
chr1:16335532-16335855	0.811411507948712	no	none
chr1:16339086-16340137	0.951053307367315	REnh	none
chr1:16375210-16375676	1.26998219516872	promoter	no
chr1:16399589-16400130	0.599391722255516	promoter	no
chr1:16405410-16405805	0.802016559613315	REnh	none
chr1:16408781-16409234	0.83216520662659	no	none
chr1:16465223-16468061	1.02213646931129	SE	up
chr1:16469588-16474437	0.881476769584087	SE	up
chr1:16479192-16479419	1.86520072325921	SE	up
chr1:16479727-16483855	0.89982143713765	promoter	up
chr1:16484814-16486205	0.702057586872127	SE	none
chr1:16488070-16489684	0.876614552525134	SE	none
chr1:16490805-16491784	0.770255139315144	SE	none
chr1:16493747-16494541	0.527545990638576	SE	none
chr1:16495083-16495304	0.557448859444632	SE	none
chr1:16498194-16503206	0.632497958005166	SE	none
chr1:16505403-16505882	0.709353974020639	SE	none
chr1:16507742-16509206	0.794328462677154	SE	none
chr1:16514143-16514662	0.793121063745793	SE	none
chr1:16531568-16531827	0.796863991150122	REnh	down
chr1:16533168-16535034	0.601725098831323	REnh	down
chr1:16562601-16564165	0.60597115724964	promoter	no
chr1:16570923-16571213	1.02535565736004	no	none
chr1:16677781-16679626	0.780457297895687	promoter	no
chr1:16693060-16695545	0.85976007982924	promoter	no
chr1:16700392-16703984	0.71361170420256	no	no
chr1:16766716-16767794	0.684638428204337	promoter	no
chr1:16825088-16825749	1.05688162041832	REnh	none
chr1:16825857-16826219	0.582972532455868	REnh	none
chr1:16840017-16840984	0.67842278717273	REnh	none
chr1:16939752-16940050	0.762967975547706	promoter	no
chr1:16940213-16940535	0.521802707284091	promoter	none
chr1:16947561-16947791	0.897968568787562	REnh	none
chr1:16951470-16951749	0.908175996201112	no	none
chr1:16970764-16971832	0.818372592721652	promoter	none
chr1:17026655-17028322	0.743924754184311	SE	none
chr1:17033911-17034162	0.931851538862792	SE	none
chr1:17053758-17054049	0.793646483191478	SE	none
chr1:17221897-17222118	0.560441577460356	no	none
chr1:17222568-17223324	0.867710315837925	REnh	none
chr1:17230674-17232298	0.721519563918298	REnh	none
chr1:17240692-17241127	0.588753417874127	REnh	none
chr1:17278263-17278532	0.806693647047073	no	none
chr1:17287196-17287579	0.93493903863656	REnh	none
chr1:17290066-17290284	1.1113025075869	no	none
chr1:17306217-17307479	0.815298580640834	promoter	no
chr1:17379923-17380557	0.847587917611251	promoter	no
chr1:17452231-17452686	0.925774170961691	REnh	none
chr1:17454543-17454879	1.17398341238259	no	none
chr1:17455103-17455745	1.86335372470669	REnh	none
chr1:17516302-17517866	1.45400925338098	REnh	none
chr1:17534129-17535227	1.15289844895511	REnh	none
chr1:17552801-17553289	1.00394529821723	no	none
chr1:17558694-17561488	1.49281733292116	REnh	none
chr1:17563409-17563926	0.8145292870335	REnh	none
chr1:17600735-17601042	0.908611417240899	no	none
chr1:17662674-17662931	1.04809081605981	no	none
chr1:17674640-17674967	0.776830025928132	REnh	none
chr1:17732647-17732886	1.3654424934866	no	none
chr1:17746289-17746689	0.751317623519724	no	no
chr1:17764170-17766259	0.902350177408776	promoter	no
chr1:17766363-17766782	0.65858587831138	promoter	none
chr1:17767839-17768181	0.367220653734263	promoter	none
chr1:17811836-17812075	0.873731900264281	no	none
chr1:17814563-17814931	0.785220709210013	REnh	none
chr1:17820777-17821038	0.828616655844439	REnh	none
chr1:17828807-17829214	0.819180480892942	no	none
chr1:17849828-17850437	0.318561857736296	REnh	none
chr1:17857901-17858991	0.34136719352923	REnh	none
chr1:17866368-17866882	0.620340264312234	promoter	no
chr1:17895395-17897062	0.407611170035622	REnh	no
chr1:17899195-17899416	0.699566072969076	no	no
chr1:17933335-17933707	0.73867227239941	no	no
chr1:18152648-18152884	0.918424069075754	no	none
chr1:18648914-18649218	0.617505536550416	no	none
chr1:18923935-18924238	0.733561007173755	no	none
chr1:19147364-19147583	0.928170024891339	no	none
chr1:19228725-19229017	0.36797890410332	promoter	no
chr1:19233508-19233830	0.892684869901251	no	no
chr1:19239568-19240050	0.854962149453019	no	no
chr1:19248041-19248282	0.496372607791336	no	no
chr1:19252791-19254665	1.02505724414001	REnh	no
chr1:19281741-19282668	0.915975183113481	promoter	no
chr1:19282794-19283155	1.29533298358648	promoter	no
chr1:19298701-19298967	1.26405886601808	REnh	none
chr1:19327606-19327986	0.822486627521508	no	none
chr1:19333290-19335168	0.922251826378915	no	none
chr1:19335318-19339329	0.94380538751601	REnh	none
chr1:19378486-19379655	1.25908620371117	no	none
chr1:19422771-19423121	0.773110184302944	no	no
chr1:19440169-19440488	0.855936953212056	no	no
chr1:19536070-19537514	0.83538229235217	promoter	no
chr1:19577454-19579084	0.837831257212847	promoter	no
chr1:19638277-19639475	0.585299694010735	promoter	no
chr1:19717885-19718148	1.02308778065134	no	no
chr1:19811207-19812102	1.0690087369286	promoter	no
chr1:19812218-19813053	0.741392837619069	promoter	none
chr1:19908755-19909059	0.649378487928232	no	none
chr1:19922790-19923322	1.03858697578584	promoter	none
chr1:19923448-19924506	0.992845310885715	promoter	no
chr1:19969813-19970729	0.454941927585376	promoter	no
chr1:19971181-19971882	0.444379615122128	promoter	no
chr1:19991353-19991764	0.451384153912967	promoter	none
chr1:20064004-20064225	1.14507721090536	no	no
chr1:20076600-20078247	1.95214155046453	no	no
chr1:20083451-20087770	1.21348835596775	REnh	no
chr1:20088645-20089400	1.10563576138048	no	no
chr1:20090297-20093649	0.999092166234799	REnh	no
chr1:20125529-20127219	0.796410493161248	promoter	no
chr1:20137753-20138041	0.892282471395158	no	none
chr1:20208657-20209926	1.18077518148987	promoter	no
chr1:20228714-20229038	2.03227143652631	no	no
chr1:20229396-20231339	1.74004509636308	REnh	no
chr1:20231465-20231853	2.15741383904119	no	no
chr1:20244426-20244917	0.913719630253494	no	none
chr1:20249652-20254107	1.09659742294818	REnh	none
chr1:20427455-20427747	0.972458668655726	no	none
chr1:20478719-20479162	0.981886158475599	REnh	none
chr1:20521722-20522043	0.902331962466058	no	none
chr1:20537447-20539746	0.93015994858928	REnh	none
chr1:20688318-20688614	0.99200356189058	no	none
chr1:20756891-20757278	1.43408252513686	promoter	none
