gid	dmso	jq1	chr	start	end	gname	else	dir	len	type	type2	LFC
142	0.0755781161872532	0.0379052369077307	chr1	226548391	226595801	PARP1	0	-	47411	no	no	-0.995571377457781
143	0.0177831912302071	0.00852965069049553	chr13	24995068	25086948	PARP4	0	-	91881	no	no	-1.05995567592055
152	0.232323232323232	0.2	chr4	3768295	3770253	ADRA2C	0	+	1959	no	no	-0.216133430864766
153	1.6	0.428571428571429	chr10	115803805	115806667	ADRB1	0	+	2863	no	no	-1.90046432644909
154	4	1	chr5	148206155	148208197	ADRB2	0	+	2043	no	no	-2
156	0.0376970527758739	0.0207190737355271	chr11	67033904	67054029	ADRBK1	0	+	20126	no	no	-0.863492227870142
157	0.0499569336778639	0.0231848688224527	chr22	25960860	26125258	ADRBK2	0	+	164399	no	no	-1.10750136391788
158	0.178733031674208	0.142857142857143	chr22	40742503	40762575	ADSL	0	+	20073	yes	down	-0.323233110843275
159	0.0574043261231281	0.0224089635854342	chr1	244571793	244615436	ADSS	0	-	43644	no	no	-1.35708354009608
160	0.0235414534288639	0.0127952755905512	chr19	50270179	50310369	AP2A1	0	+	40191	no	no	-0.879592172719701
161	0.0283050283050283	0.0184934596301308	chr11	925808	1012245	AP2A2	0	+	86438	no	no	-0.614043226829775
162	0.0527131782945736	0.0344311377245509	chr22	29723668	29784572	AP1B1	0	-	60905	no	no	-0.614449827356762
163	0.00814901047729918	0.00508474576271186	chr17	33914281	34053436	AP2B1	0	+	139156	no	no	-0.680449244447188
164	0.022289156626506	0.0135795763172189	chr16	71762904	71842976	AP1G1	0	-	80073	no	no	-0.714903560969844
166	0.0279898218829517	0.0117845117845118	chr19	3052907	3062964	AES	0	-	10058	no	no	-1.24801031512185
172	0.167495029821074	0.0827886710239651	chr16	90038987	90067195	AFG3L1P	0	+	28209	yes	down	-1.01661302134655
175	0.441860465116279	0.181034482758621	chr4	178351928	178363657	AGA	0	-	11730	no	no	-1.2873263310903
178	0.108641975308642	0.0691318327974277	chr1	100315639	100389579	AGL	0	+	73941	no	no	-0.652159536293815
182	0.207985143918292	0.0849731663685152	chr20	10618331	10654694	JAG1	0	-	36364	no	no	-1.29140125202564
196	0.158143939393939	0.058859595340282	chr7	17338275	17385775	AHR	0	+	47501	no	no	-1.42588873910633
202	0.0228136882129278	0.0153061224489796	chr6	106959729	107018334	AIM1	0	+	58606	yes	down	-0.575790854822906
203	0.239495798319328	0.142292490118577	chr9	130628758	130640022	AK1	0	-	11265	no	no	-0.751140824108796
204	0.022077270446563	0.0253534861043393	chr1	33473540	33502512	AK2	0	-	28973	no	no	0.199622317863001
205	0.0150023441162682	0.011038961038961	chr1	65613231	65697828	AK4	0	+	84598	yes	down	-0.442583543991353
207	0.0475161987041037	0.0190699230511877	chr14	105235686	105262080	AKT1	0	-	26395	no	no	-1.31712040289041
208	0.0223517978620019	0.0152582159624413	chr19	40736223	40791302	AKT2	0	-	55080	no	no	-0.550804591247791
210	0.0817610062893082	0.0783132530120482	chr9	116148591	116163618	ALAD	0	-	15028	no	no	-0.0621564760625694
211	0.105461393596987	0.0281124497991968	chr3	52232098	52248343	ALAS1	0	+	16246	no	no	-1.90743388126393
214	0.0209445585215606	0.00672268907563025	chr3	105085556	105295757	ALCAM	0	+	210202	no	no	-1.6394651431971
215	0.188636363636364	0.0694259012016021	chrX	152990322	153010216	ABCD1	0	+	19895	yes	up	-1.44206190813992
217	0.0375586854460094	0.0760869565217391	chr12	112204690	112247789	ALDH2	0	+	43100	no	no	1.01850258622643
219	0.191304347826087	0.0716112531969309	chr9	38392660	38398662	ALDH1B1	0	+	6003	yes	down	-1.41761144294267
220	0.0210721694508134	0.0175129807269207	chr15	101419896	101456830	ALDH1A3	0	+	36935	no	no	-0.266914199298852
221	0.00274223034734918	0.00707964601769911	chr11	67776016	67796749	ALDH3B1	0	+	20734	no	no	1.36832746476885
223	0.114285714285714	0.024822695035461	chr1	165631448	165667900	ALDH9A1	0	-	36453	no	no	-2.20291341339622
224	0.0576271186440678	0.0357142857142857	chr17	19552063	19580908	ALDH3A2	0	+	28846	no	no	-0.69024661905874
226	0.00958466453674121	0.00470914127423823	chr16	30064410	30081741	ALDOA	0	+	17332	no	no	-1.02526393431273
230	0.461538461538462	0.186440677966102	chr17	26900132	26903951	ALDOC	0	-	3820	no	no	-1.30773421330461
231	0.123893805309735	0.12	chr7	134127106	134143888	AKR1B1	0	-	16783	no	no	-0.046069648695985
245	0.0190796857463524	0.0153846153846154	chr17	6756894	6803668	ALOX12P2	0	+	46775	no	no	-0.310549032756872
262	0.00498466257668712	0.00244498777506112	chr6	111135823	111216915	AMD1	0	+	81093	no	no	-1.02766859685176
267	0.0896551724137931	0.0446162998215348	chr16	56395363	56459450	AMFR	0	-	64088	no	no	-1.00681594686644
268	0.0343612334801762	0.0328467153284672	chr19	2249112	2252072	AMH	0	+	2961	no	no	-0.0650327182021853
271	0.0844327176781003	0.0541666666666667	chr1	110162434	110174677	AMPD2	0	+	12244	no	no	-0.640396839296335
272	0.0228509249183896	0.0125195618153365	chr11	10471867	10529126	AMPD3	0	+	57260	no	no	-0.86806849243672
274	0.0372914622178607	0.0207182320441989	chr2	127805598	127864903	BIN1	0	-	59306	no	no	-0.847944468752459
275	0.0625	0.0857142857142857	chr3	49454210	49460111	AMT	0	-	5902	no	no	0.45567948377619
283	4.45	6.65384615384615	chr14	21152335	21162345	ANG	0	+	10011	no	no	0.580383173416597
287	0.0161290322580645	0.00221975582685905	chr4	113739238	114304896	ANK2	0	+	565659	no	no	-2.86118698542666
288	0.0234208658623137	0.00870827285921625	chr10	61786055	62493284	ANK3	0	-	707230	no	no	-1.42733589503195
291	1.02173913043478	0.521978021978022	chr4	186064416	186071538	SLC25A4	0	+	7123	no	no	-0.968965927488373
292	0.419642857142857	0.154213036565978	chrX	118602362	118605359	SLC25A5	0	+	2998	no	no	-1.4442372943122
301	0.0737564322469983	0.0263532763532764	chr9	75766780	75785307	ANXA1	0	+	18528	no	no	-1.48478653617721
302	0.0349109231599784	0.0154011915325136	chr15	60639349	60690185	ANXA2	0	-	50837	no	no	-1.18063653586068
306	0.00949767834529337	0.00541418516513265	chr4	79472741	79531605	ANXA3	0	+	58865	yes	down	-0.81083066918452
307	0.0177809388335704	0.0153468385512584	chr2	69969126	70053596	ANXA4	0	+	84471	no	no	-0.212390009452982
308	0.05932932072227	0.0261584454409567	chr4	122589151	122618147	ANXA5	0	-	28997	no	no	-1.18146845900145
309	0.0140845070422535	0.014792899408284	chr5	150480266	150537443	ANXA6	0	-	57178	no	no	0.07079577810986
310	0.0854139290407359	0.0666666666666667	chr10	75135188	75173841	ANXA7	0	-	38654	yes	down	-0.357505765133428
311	0.0116917626217892	0.00760576770717794	chr10	81914879	81965433	ANXA11	0	-	50555	no	no	-0.620326661029859
314	0.0256191289496157	0.0186170212765957	chr17	40996608	41002724	AOC2	0	+	6117	yes	up	-0.460599164727337
317	0.0306513409961686	0.017825311942959	chr12	99039077	99129211	APAF1	0	+	90135	no	no	-0.782022869151546
318	0.0919881305637982	0.08	chr9	34329503	34343711	NUDT2	0	+	14209	no	no	-0.201447718979741
322	0.418604651162791	0.213114754098361	chr11	6416353	6440702	APBB1	0	-	24350	no	no	-0.973957866162009
323	0.00531462585034014	0.00455795109246129	chr4	40812043	41216635	APBB2	0	-	404593	no	no	-0.221582685260972
324	0.0237642585551331	0.0104384133611691	chr5	112043201	112181936	APC	0	+	138736	no	no	-1.18689095133124
327	0.0592255125284738	0.0264026402640264	chr3	49711434	49720934	APEH	0	+	9501	no	no	-1.16553657207868
328	0.927927927927928	0.40650406504065	chr14	20923289	20925931	APEX1	0	+	2643	no	no	-1.19074297639763
329	0.1234375	0.0453488372093023	chr11	102217912	102249401	BIRC2	0	+	31490	no	no	-1.44464328401695
330	0.108108108108108	0.0597014925373134	chr11	102188180	102210135	BIRC3	0	+	21956	yes	down	-0.856635824828823
331	0.0245362058647516	0.0197897340754484	chrX	122993661	123047829	XIAP	0	+	54169	no	no	-0.310159950030557
332	0.0620300751879699	0.030791788856305	chr17	76210276	76221716	BIRC5	0	+	11441	no	no	-1.01042219010268
333	0.147540983606557	0.0357142857142857	chr19	36359400	36370699	APLP1	0	+	11300	no	no	-2.04654258593703
334	0.0447119518486672	0.0197165742452249	chr11	129939715	130014706	APLP2	0	+	74992	no	no	-1.18125162121585
341	0.222222222222222	0.0666666666666667	chr19	45417920	45422606	APOC1	0	+	4687	no	no	-1.73696559416621
348	1.12765957446809	0.255208333333333	chr19	45409038	45412650	APOE	0	+	3613	yes	up	-2.14358425949151
351	0.0208527855586679	0.00807067291962046	chr21	27252860	27543446	APP	0	-	290587	no	no	-1.36947924155733
353	0.238921001926782	0.104529616724739	chr16	88875876	88878342	APRT	0	-	2467	no	no	-1.19262191309616
355	0.17877094972067	0.0368852459016393	chr10	90750287	90775542	FAS	0	+	25256	yes	up	-2.27699655885632
357	0.0173410404624277	0.00666666666666667	chrX	9754495	9917481	SHROOM2	0	+	162987	no	no	-1.37915296358031
360	0.381578947368421	0.522727272727273	chr9	33441151	33447631	AQP3	0	-	6481	no	no	0.454076855735729
369	0.223175965665236	0.0769230769230769	chrX	47420498	47431320	ARAF	0	+	10823	yes	down	-1.5366932916279
372	0.08	0.0380434782608696	chr11	118443101	118473747	ARCN1	0	+	30647	no	no	-1.07235084422468
373	0.024390243902439	0.0205761316872428	chr5	64885506	64920187	TRIM23	0	-	34682	no	no	-0.245332404100335
375	0.079295154185022	0.021227325357005	chr1	228270360	228286913	ARF1	0	+	16554	no	no	-1.90131010080683
377	0.112994350282486	0.0535987748851455	chr12	49329991	49351252	ARF3	0	-	21262	no	no	-1.07597870940583
378	0.0856627592425609	0.0405624661979448	chr3	57557089	57583215	ARF4	0	-	26127	no	no	-1.07852277707755
379	1.59375	1.15789473684211	chr17	41476352	41478504	ARL4D	0	+	2153	no	no	-0.460921236777784
381	0.643478260869565	0.175355450236967	chr7	127228405	127231759	ARF5	0	+	3355	no	no	-1.87560913776281
382	0.204022988505747	0.0600358422939068	chr14	50359735	50363772	ARF6	0	+	4038	no	no	-1.76483574502737
384	0.434782608695652	0.15	chr14	68086578	68118436	ARG2	0	+	31859	no	no	-1.53533173299656
387	0.0161588180978763	0.00990883868410622	chr3	49396578	49449526	RHOA	0	-	52949	no	no	-0.705533790538215
388	0.332399626517274	0.488272921108742	chr2	20646834	20649201	RHOB	0	+	2368	no	no	0.554769009365426
389	0.130952380952381	0.0665529010238908	chr1	113243748	113250025	RHOC	0	-	6278	no	no	-0.976468831418536
390	0.265921787709497	0.122835943940643	chr2	151324706	151344209	RND3	0	-	19504	no	no	-1.11426920581467
391	0.0386869871043376	0.021780303030303	chr11	3848207	3862213	RHOG	0	-	14007	no	no	-0.828824351341604
392	0.0916129032258065	0.052801724137931	chr11	46698624	46722215	ARHGAP1	0	-	23592	no	no	-0.794965770355446
393	0.0555815039701074	0.0324156305506217	chrX	153172829	153191714	ARHGAP4	0	-	18886	no	no	-0.777915236122647
394	0.0373369320737742	0.0145772594752187	chr14	32546494	32628934	ARHGAP5	0	+	82441	no	no	-1.35688386960538
396	0.0524560339599757	0.0235436893203884	chr17	79825596	79829282	ARHGDIA	0	-	3687	no	no	-1.15576832408271
400	0.0754716981132075	0.0592105263157895	chr12	101786902	101801572	ARL1	0	-	14671	no	no	-0.350082057438074
402	0.564285714285714	0.39873417721519	chr11	64781584	64789657	ARL2	0	+	8074	no	no	-0.500998555909323
403	0.0410677618069815	0.0439882697947214	chr10	104433483	104474190	ARL3	0	-	40708	no	no	0.0991125337793261
405	0.0604838709677419	0.0343434343434343	chr1	150782180	150849244	ARNT	0	-	67065	no	no	-0.816516158938276
406	0.0174927113702624	0.0201005025125628	chr11	13299324	13408812	ARNTL	0	+	109489	no	no	0.200477644908007
408	0.0121065375302663	0.0140237324703344	chr11	74971165	75062875	ARRB1	0	-	91711	no	no	0.212084066047644
409	0.130120481927711	0.0535714285714286	chr17	4613788	4624795	ARRB2	0	+	11008	no	no	-1.28031239726563
410	0.0486486486486487	0.0242914979757085	chr22	51061181	51066601	ARSA	0	-	5421	no	no	-1.00194827178952
414	0.504477611940298	0.211920529801325	chrX	2822010	2847416	ARSD	0	-	25407	yes	up	-1.25126689026213
421	0.00785854616895874	0.00636604774535809	chr22	19957401	20004309	ARVCF	0	-	46909	no	no	-0.303864461359175
427	0.00883002207505519	0.0158371040723982	chr8	17913924	17942507	ASAH1	0	-	28584	no	no	0.842819602712408
435	0.103161397670549	0.0603932584269663	chr7	65540775	65558329	ASL	0	+	17555	no	no	-0.77244380593999
439	0.183368869936034	0.118055555555556	chr19	12848305	12859137	ASNA1	0	+	10833	no	no	-0.635282802378694
440	0.162790697674419	0.0649350649350649	chr7	97481428	97501854	ASNS	0	-	20427	no	no	-1.32594861316305
444	0.0195098355369236	0.00552486187845304	chr8	62413114	62627199	ASPH	0	-	214086	no	no	-1.82019131374518
445	0.0221354166666667	0.0317460317460317	chr9	133320093	133376661	ASS1	0	+	56569	no	no	0.5202197359709
463	0.00837520938023451	0.00593031875463306	chr16	72816785	73092534	ZFHX3	0	-	275750	no	no	-0.498015606570825
466	0.0284974093264249	0.025	chr12	51157788	51214943	ATF1	0	+	57156	no	no	-0.188902676256579
468	0.179634966378482	0.247232472324723	chr22	39916563	39918691	ATF4	0	+	2129	no	no	0.460800042515681
471	0.034994068801898	0.031390134529148	chr2	216176678	216214496	ATIC	0	+	37819	no	no	-0.15679920628246
472	0.0233393177737881	0.0108200455580866	chr11	108093558	108239826	ATM	0	+	146269	no	no	-1.10905581689283
473	0.0128891532817767	0.00906985719799305	chr1	8412463	8877699	RERE	0	-	465237	no	no	-0.507005751573588
475	0.0940325497287523	0.0277520814061055	chr5	151122382	151138210	ATOX1	0	-	15829	no	no	-1.76056426003252
476	0.109016811003566	0.0572519083969466	chr1	116915794	116947396	ATP1A1	0	+	31603	no	no	-0.929154934863908
478	0.0727272727272727	0.0607476635514019	chr19	42470733	42498428	ATP1A3	0	-	27696	no	no	-0.259667554735395
479	0.0555555555555556	0.0909090909090909	chr13	25254548	25285923	ATP12A	0	+	31376	no	no	0.710493382805015
481	0.127484874675886	0.0857381848598913	chr1	169075946	169101960	ATP1B1	0	+	26015	no	no	-0.572316310347895
483	0.0368122977346278	0.0257009345794393	chr3	141595469	141645382	ATP1B3	0	+	49914	no	no	-0.518366980058171
487	0.0206766917293233	0.0113268608414239	chr16	28889808	28915830	ATP2A1	0	+	26023	yes	up	-0.868257288982878
488	0.0406078724464375	0.0209302325581395	chr12	110719031	110788897	ATP2A2	0	+	69867	no	no	-0.956171101015608
489	0.0682926829268293	0.0434782608695652	chr17	3827162	3867758	ATP2A3	0	-	40597	no	no	-0.651436778609171
493	0.00266903914590747	0.00403225806451613	chr1	203595914	203713209	ATP2B4	0	+	117296	no	no	0.595267509112895
498	0.00541516245487365	0.0101010101010101	chr18	43664109	43684199	ATP5A1	0	-	20091	no	no	0.899423045248423
501	0.0964028776978417	0.0695364238410596	chr5	125877532	125931082	ALDH7A1	0	-	53551	no	no	-0.471307339393221
506	0.218678815489749	0.0969945355191257	chr12	57031958	57039852	ATP5B	0	-	7895	no	no	-1.17283808996516
509	0.0622895622895623	0.0282485875706215	chr10	7830092	7849762	ATP5C1	0	+	19671	no	no	-1.14081170002382
513	0.152542372881356	0.0732484076433121	chr19	1241748	1244824	ATP5D	0	+	3077	no	no	-1.05834074491509
514	0.846938775510204	0.266355140186916	chr20	57603732	57607422	ATP5E	0	-	3691	no	no	-1.66890655946812
515	0.0448877805486284	0.0291479820627803	chr1	111991742	112004525	ATP5F1	0	+	12784	no	no	-0.622926756766605
516	1.43298969072165	0.603053435114504	chr17	46970147	46973232	ATP5G1	0	+	3086	no	no	-1.24867048389673
518	0.179271708683473	0.0556464811783961	chr2	176040985	176046490	ATP5G3	0	-	5506	no	no	-1.68778546453929
521	0.961038961038961	0.626168224299065	chr4	666224	668127	ATP5I	0	-	1904	no	no	-0.618044620877423
522	0.171111111111111	0.087218045112782	chr21	27096790	27107965	ATP5J	0	-	11176	no	no	-0.972234884738844
523	0.0192644483362522	0.0121739130434783	chr3	113465865	113530905	ATP6V1A	0	+	65041	no	no	-0.662147907048588
525	0.0465116279069767	0.075	chr2	71162997	71192561	ATP6V1B1	0	+	29565	no	no	0.689299160535892
526	0.237179487179487	0.12707182320442	chr8	20054703	20079207	ATP6V1B2	0	+	24505	yes	up	-0.900335077792894
527	0.345959595959596	0.153061224489796	chr16	2563726	2570224	ATP6V0C	0	+	6499	no	no	-1.17649471138761
528	0.0297157622739018	0.0192139737991266	chr8	104033247	104085285	ATP6V1C1	0	+	52039	no	no	-0.629072464259611
529	0.0179257362355954	0.0159716060337178	chr22	18074902	18111588	ATP6V1E1	0	-	36687	no	no	-0.166522982645534
533	0.45985401459854	0.341708542713568	chr1	44440319	44443972	ATP6V0B	0	+	3654	no	no	-0.428409619832699
535	0.0116086235489221	0.00627615062761506	chr17	40610861	40674597	ATP6V0A1	0	+	63737	no	no	-0.887245037417112
537	0.153526970954357	0.0880952380952381	chrX	153656977	153664863	ATP6AP1	0	+	7887	no	no	-0.801356181436161
538	0.0278884462151394	0.0297766749379653	chrX	77166152	77305892	ATP7A	0	+	139741	no	no	0.0945151040863567
539	0.175	0.0719557195571956	chr21	35275756	35288158	ATP5O	0	-	12403	no	no	-1.28217364966186
540	0.0238095238095238	0.027027027027027	chr13	52506805	52585630	ATP7B	0	-	78826	no	no	0.182864057149811
545	0.0304259634888438	0.0161507402422611	chr3	142168076	142297668	ATR	0	-	129593	no	no	-0.913702659048047
546	0.0078551912568306	0.00431150633252493	chrX	76760355	77041755	ATRX	0	-	281401	no	no	-0.865454403470497
549	0.0347423277359583	0.0159732540861813	chr9	93976096	94124206	AUH	0	-	148111	no	no	-1.12103616798781
550	0.518218623481781	0.179203539823009	chr2	74753774	74756974	AUP1	0	-	3201	no	no	-1.53196172794589
558	0.0161625490648811	0.00594701748062714	chr19	41725103	41767672	AXL	0	+	42570	no	no	-1.44241652817008
567	0.287179487179487	0.135537190082645	chr15	45003684	45010357	B2M	0	+	6674	no	no	-1.08326393585187
571	0.144615384615385	0.0469341408024224	chr21	30671219	30734217	BACH1	0	+	62999	no	no	-1.62351138462177
572	0.0508166969147005	0.0346385542168675	chr11	64037299	64052176	BAD	0	-	14878	no	no	-0.552923888776358
573	0.13126079447323	0.0585585585585586	chr9	33252469	33264759	BAG1	0	-	12291	no	no	-1.16448412366336
578	0.104109589041096	0.0373983739837398	chr6	33540322	33548070	BAK1	0	-	7749	no	no	-1.4770555038458
579	0.4	0.333333333333333	chr4	13542453	13546114	NKX3-2	0	-	3662	no	no	-0.263034405833794
580	0.0298387096774194	0.0115273775216138	chr2	215590369	215674435	BARD1	0	-	84067	no	no	-1.37212081293297
581	0.0941704035874439	0.0529801324503311	chr19	49458116	49465055	BAX	0	+	6940	no	no	-0.829822262183534
582	0.0301263362487852	0.0239282153539382	chr11	66278118	66301084	BBS1	0	+	22967	no	no	-0.332312433383931
583	0.118577075098814	0.0709677419354839	chr16	56518258	56554008	BBS2	0	-	35751	no	no	-0.740589807551149
585	0.152284263959391	0.0502092050209205	chr15	72978519	73030817	BBS4	0	+	52299	no	no	-1.60074308341173
587	0.101364522417154	0.0589430894308943	chr19	49298318	49314320	BCAT2	0	-	16003	no	no	-0.782158212745706
593	0.0578842315369262	0.0516605166051661	chr19	41903693	41930910	BCKDHA	0	+	27218	no	no	-0.164108321228631
594	0.080082135523614	0.0366492146596859	chr6	80816343	81055987	BCKDHB	0	+	239645	no	no	-1.12769816275805
595	0.0177386594448206	0.00821196860396534	chr11	69455872	69469242	CCND1	0	+	13371	no	no	-1.11109696880838
598	0.00524259868421053	0.00599929420068227	chr20	30252260	30310656	BCL2L1	0	-	58397	no	no	0.194510668686085
599	0.0705289672544081	0.0537772087067862	chr14	23775970	23780968	BCL2L2	0	+	4999	no	no	-0.391221040277865
602	0.0427350427350427	0.0188679245283019	chr19	45251977	45263301	BCL3	0	+	11325	no	no	-1.17948382986716
604	0.121495327102804	0.0416666666666667	chr3	187439164	187463513	BCL6	0	-	24350	yes	up	-1.5439352324611
605	0.0163934426229508	0.0213592233009709	chr12	122459860	122499950	BCL7A	0	+	40091	yes	down	0.381740334129603
607	0.00985221674876847	0.00602409638554217	chr1	147013270	147098020	BCL9	0	+	84751	no	no	-0.709703514161748
613	0.016434603971696	0.00816596777753255	chr22	23522551	23660224	BCR	0	+	137674	no	no	-1.0090409120038
617	0.416666666666667	0.256	chr2	219524378	219528166	BCS1L	0	+	3789	no	no	-0.702749878828293
618	0.00287907869481766	0.00191021967526266	chrX	70430034	70948962	BCYRN1	0	-	518929	no	no	-0.591868665373456
622	0.00403632694248234	0.00547195622435021	chr3	197236653	197300194	BDH1	0	-	63542	no	no	0.439013651234051
624	0.0344827586206897	0.02	chr14	96671134	96710666	BDKRB2	0	+	39533	no	no	-0.785875194647152
631	0.14760147601476	0.0677966101694915	chr20	17474549	17549865	BFSP1	0	-	75317	no	no	-1.12242210289533
636	0.0167566561161795	0.00885328836424958	chr12	32260184	32531141	BICD1	0	+	270958	no	no	-0.920448961941384
637	0.0670731707317073	0.0284697508896797	chr22	18216905	18257431	BID	0	-	40527	no	no	-1.23630593424014
638	0.170194003527337	0.132258064516129	chr22	43506753	43525718	BIK	0	+	18966	no	no	-0.363824512982005
